,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,01: AMAZONAS,933025758,522882122,124478254,113208900,63004955,
1,1,02: ANCASH,2100824258,1327994373,267546149,249539714,174724514,
2,1,03: APURIMAC,1063515458,400952957,138698041,132457735,98880407,
3,1,04: AREQUIPA,2312208335,1787312501,338353851,271526199,227583177,
4,1,05: AYACUCHO,1324835272,972988306,158349478,158154688,120745224,
5,1,06: CAJAMARCA,3030880921,1968332246,288740983,256535454,212895565,
6,1,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,2714566307,2135775866,289644319,250703489,223266618,
7,1,08: CUSCO,2116953226,1104162450,279799023,253598501,187421007,
8,1,09: HUANCAVELICA,674293736,364151972,106028605,96588102,78228964,
9,1,10: HUANUCO,1489107005,1146604275,162019215,154298243,118390916,
10,1,11: ICA,1550604821,1342004699,182083577,158610566,128846602,
11,1,12: JUNIN,2112736251,1618842834,276350163,247336480,198834175,
12,1,13: LA LIBERTAD,3420161779,2753158952,317062632,271425827,235826544,
13,1,14: LAMBAYEQUE,2259878177,1579703779,212197073,184791607,158340128,
14,1,15: LIMA,53877979760,46863214641,9249994843,6061069975,4679513950,
15,1,16: LORETO,1772586658,1312930667,251645018,239439470,196914117,
16,1,17: MADRE DE DIOS,609900022,374485678,55343536,50650236,31090486,
17,1,18: MOQUEGUA,736973628,547631291,112248846,69669178,52422704,
18,1,19: PASCO,555008218,404227070,63407425,60950643,44367567,
19,1,20: PIURA,2683716224,1973739509,371152432,344431042,245050293,
20,1,21: PUNO,2780664324,1812394738,253166710,235749621,162639397,
21,1,22: SAN MARTIN,1987832931,1612715322,197037218,173385543,135479619,
22,1,23: TACNA,1013478528,748082339,105328151,89622660,68020625,
23,1,24: TUMBES,670358708,558338139,77460629,59526528,48932221,
24,1,25: UCAYALI,693066542,494424127,173778811,118038713,83913539,
25,1,98: EXTERIOR,588779345,571140448,148549660,89242727,87295026,
0,2,01: AMAZONAS,302789998,256516234,240928140,150821185,147783448,
1,2,02: ANCASH,1342290170,1052664785,843444789,555194444,543025298,
2,2,03: APURIMAC,395719898,458572474,302772196,247218575,240488225,
3,2,04: AREQUIPA,916826496,675769292,592512568,456072086,429361502,
4,2,05: AYACUCHO,505326348,444972846,349730044,250985809,255949071,
5,2,06: CAJAMARCA,922643765,1145023908,737003814,506822954,475608975,
6,2,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,601158057,535843254,588804437,384727106,366740326,
7,2,08: CUSCO,1030419487,692945230,621121252,468720997,407166446,
8,2,09: HUANCAVELICA,395801751,401810490,302144619,206261783,200618032,
9,2,10: HUANUCO,652862938,563981308,421049069,310846950,301318707,
10,2,11: ICA,523786922,372445517,313050308,255545116,249494059,
11,2,12: JUNIN,782887837,843038542,560001523,444628323,433098290,
12,2,13: LA LIBERTAD,770830910,732660943,643621761,442652792,426971786,
13,2,14: LAMBAYEQUE,322833468,494164860,380082489,306728493,288791096,
14,2,15: LIMA,7648497466,7059486216,10091987123,10338033685,10839433742,
15,2,16: LORETO,812854623,559762951,556353734,370714207,338847109,
16,2,17: MADRE DE DIOS,86202229,62203656,90550510,58554953,67667786,
17,2,18: MOQUEGUA,163791093,134903724,152278511,109289126,108289542,
18,2,19: PASCO,195727635,149085736,143304837,106313439,102127104,
19,2,20: PIURA,1045051112,975014943,884297754,491454057,509957017,
20,2,21: PUNO,723458581,683606120,467775486,346357308,350030753,
21,2,22: SAN MARTIN,330616007,374075915,353754476,248420928,258851201,
22,2,23: TACNA,238405729,151441444,164033243,131632293,132422083,
23,2,24: TUMBES,135288692,128695249,135421227,86567023,80566940,
24,2,25: UCAYALI,245769250,236900348,217388568,149605913,145808554,
25,2,98: EXTERIOR,30290482,23087816,51226175,71916235,70754425,
0,3,01: AMAZONAS,264039037,255595310,198526856,200905052,199606301,
1,3,02: ANCASH,766135522,551420873,633865675,528421199,528820574,
2,3,03: APURIMAC,458372093,253996118,268213012,249800719,226188671,
3,3,04: AREQUIPA,918100044,711527380,568354660,511323174,510219578,
4,3,05: AYACUCHO,746862221,532127492,371219431,328247910,292851546,
5,3,06: CAJAMARCA,715606010,649261585,593556489,539130915,504543000,
6,3,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,403450340,276114668,515193484,522361409,506870916,
7,3,08: CUSCO,1310559552,1185185336,1001205328,795434976,685585769,
8,3,09: HUANCAVELICA,469550073,372654650,269641946,256441463,230266673,
9,3,10: HUANUCO,436945980,327018710,396710262,352685462,323492866,
10,3,11: ICA,311493590,198143656,333757075,297565795,292327645,
11,3,12: JUNIN,842906498,758899229,582030195,503869087,480362129,
12,3,13: LA LIBERTAD,786945444,736272786,629504633,521055330,485398885,
13,3,14: LAMBAYEQUE,549203623,284967453,458757771,308099622,319245173,
14,3,15: LIMA,6159129413,5892071418,7739154128,7180442708,7259981957,
15,3,16: LORETO,560858670,549104531,478542707,449014034,432001339,
16,3,17: MADRE DE DIOS,84108022,72837709,77379691,72015587,60379963,
17,3,18: MOQUEGUA,163762954,167905457,158838609,127339422,128548081,
18,3,19: PASCO,297721307,174138172,132851441,131060075,120686948,
19,3,20: PIURA,1259266037,970678547,876610062,628908220,611313162,
20,3,21: PUNO,683116492,410230722,423664317,422958730,371114603,
21,3,22: SAN MARTIN,345894731,284698565,303815217,300730100,276554786,
