,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,01: AMAZONAS,2307535021,3017857810,2821280025,2612468242,2369539251,2279538620,2204594298,75.5
1,2021,02: ANCASH,5061546389,9038429620,8044910337,6915225332,6574285154,5907970292,5786838602,65.4
2,2021,03: APURIMAC,2624131415,3703230723,3329302026,2918333190,2734226680,2629423051,2550324101,71.0
3,2021,04: AREQUIPA,5160485667,7913156085,6876574278,6217189985,5814563223,5474105209,5361435164,69.2
4,2021,05: AYACUCHO,3171014421,4976400238,4513262236,4043010892,3652254933,3501092405,3433311949,70.4
5,2021,06: CAJAMARCA,5435284563,8024872038,7472115917,6850773442,6039365010,5748401390,5662677107,71.6
6,2021,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,4397376771,5466954678,4966139812,4679627342,4408701794,4197701416,4088296756,76.8
7,2021,08: CUSCO,7523325456,9931792853,8503485180,7765885767,7523482285,7187775445,6900803812,72.4
8,2021,09: HUANCAVELICA,2179394144,3394642803,3130825693,2851226043,2614308247,2486921878,2431085078,73.3
9,2021,10: HUANUCO,3099650308,4397536694,4098415094,3811390797,3496788075,3343887153,3266240434,76.0
10,2021,11: ICA,2923817851,4066733794,3631732691,3293701737,3054556119,2890883239,2837773637,71.1
11,2021,12: JUNIN,4246150956,6301287212,5871543151,5446704006,4969039737,4702429780,4605839758,74.6
12,2021,13: LA LIBERTAD,5625070536,8043513303,7447711314,6903993891,6195674742,5798734778,5700767022,72.1
13,2021,14: LAMBAYEQUE,3031887415,4907145666,4539893712,4181434151,3823602716,3629246973,3544653828,74.0
14,2021,15: LIMA,99354971426,102125947030,88679725698,85924015088,80391514726,77749060776,77001948864,76.1
15,2021,16: LORETO,4171447882,5628089674,5303053519,5005759179,4686348096,4525896965,4402130850,80.4
16,2021,17: MADRE DE DIOS,1044064912,1412103816,1335704167,1283016229,1220157706,1174243824,1144754292,83.2
17,2021,18: MOQUEGUA,1374895151,1914913595,1718023940,1577627147,1495710615,1362547412,1336547253,71.2
18,2021,19: PASCO,1359915313,1952047900,1780272958,1575556169,1456988509,1391028208,1352886334,71.3
19,2021,20: PIURA,5663226642,9571655632,8690725578,7889663369,7259156415,6727225511,6588546822,70.3
20,2021,21: PUNO,5069587634,6870167713,6316615842,5659985418,5219607919,5063575148,4917329224,73.7
21,2021,22: SAN MARTIN,2859434944,4208936340,4010246284,3707710886,3296197616,3215062894,3169612116,76.4
22,2021,23: TACNA,1727651725,2522067737,2330995951,2137008433,2028369603,1874688877,1814828851,74.3
23,2021,24: TUMBES,1011342656,1648294976,1513587842,1362180505,1271820217,1167822141,1151861887,70.9
24,2021,25: UCAYALI,1886459363,2495628902,2337075396,2172132822,2040034735,1962791974,1888184745,78.6
25,2021,98: EXTERIOR,720101597,814968151,763338584,753955788,748806201,704113300,703548711,86.4
