,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,01: AMAZONAS,267737516,66370486,38115037,30294862,5449965,
1,1,02: ANCASH,503006810,268585993,55252369,52507254,12479799,
2,1,03: APURIMAC,154296492,55655263,26994564,23696366,5027182,
3,1,04: AREQUIPA,447960177,130995456,78291901,35289382,24913075,
4,1,05: AYACUCHO,260114456,139574226,20605504,16398041,8338279,
5,1,06: CAJAMARCA,518335679,224402008,58104085,36538901,19232730,
6,1,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,212619184,17941144,8085364,3449835,1649747,
7,1,08: CUSCO,739992447,78233734,39007169,26910900,5640035,
8,1,09: HUANCAVELICA,126729749,27364123,12064594,8458514,5246500,
9,1,10: HUANUCO,379241035,234005970,17919364,19421490,4163052,
10,1,11: ICA,137061592,34804449,22239727,10945344,3174346,
11,1,12: JUNIN,272724172,147279870,35871228,21398056,3357311,
12,1,13: LA LIBERTAD,508280993,160988585,49593757,28691646,15497269,
13,1,14: LAMBAYEQUE,236825573,43899125,16882812,6537061,3186668,
14,1,15: LIMA,2366897753,1169519965,778296558,442954531,148801659,
15,1,16: LORETO,516219412,314181181,39613134,30617023,14867433,
16,1,17: MADRE DE DIOS,227110938,17363048,7309722,6561398,4046978,
17,1,18: MOQUEGUA,252920990,148364102,41368030,13262689,7704457,
18,1,19: PASCO,108491415,43742526,6283627,6136997,770670,
19,1,20: PIURA,896149955,496222401,94039578,91102144,21782114,
20,1,21: PUNO,656372461,197672859,44030784,31996434,7805070,
21,1,22: SAN MARTIN,401335454,166084004,44771404,31091754,15940633,
22,1,23: TACNA,205592067,67743176,20403841,13612940,7587005,
23,1,24: TUMBES,65654094,22264509,14788800,4614775,3663925,
24,1,25: UCAYALI,188017635,93517376,67578895,19071011,4460037,
0,2,01: AMAZONAS,174656555,107336780,43492610,33717757,30617483,
1,2,02: ANCASH,716201505,428845173,367021601,165589898,171387543,
2,2,03: APURIMAC,168422023,156915442,65279404,55577959,52700795,
3,2,04: AREQUIPA,527090971,308110891,193152185,118463673,92822915,
4,2,05: AYACUCHO,276203148,150949292,71218536,49214650,43867513,
5,2,06: CAJAMARCA,523493293,412028475,146794507,99114431,84010774,
6,2,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,119030347,166785956,130711180,8244900,8426353,
7,2,08: CUSCO,481732211,283148515,200517525,142089354,72382461,
8,2,09: HUANCAVELICA,151795092,107413190,59442945,32632295,25428056,
9,2,10: HUANUCO,276657689,178193761,56924719,41296834,33764364,
10,2,11: ICA,199588524,108561718,47257212,26451734,20623051,
11,2,12: JUNIN,265048029,206386393,78631969,43482693,31898170,
12,2,13: LA LIBERTAD,461898750,337445499,163951488,93122841,77518013,
13,2,14: LAMBAYEQUE,242332322,310085102,116632535,94144964,72763651,
14,2,15: LIMA,1533237513,1100975383,813167453,646663536,719908009,
15,2,16: LORETO,463510100,154434053,122666538,101322278,78790191,
16,2,17: MADRE DE DIOS,78319755,50479722,25744098,13456207,11422846,
17,2,18: MOQUEGUA,79671848,55726409,61678610,34734936,28790366,
18,2,19: PASCO,67021347,24726858,15342629,11809137,6727776,
19,2,20: PIURA,591954097,501853344,368631097,137416602,161922680,
20,2,21: PUNO,327229927,179389580,104307876,64287336,54276122,
21,2,22: SAN MARTIN,146822916,180149842,72432603,51267658,57354045,
22,2,23: TACNA,149554035,54430502,44590555,28954293,25916199,
23,2,24: TUMBES,90953817,77443963,55408302,21958295,17444159,
24,2,25: UCAYALI,114079067,96954951,46187915,31964594,28778133,
0,3,01: AMAZONAS,153558755,107550863,59161056,54236808,60439705,
1,3,02: ANCASH,454100531,268316909,227398878,157548107,150432022,
2,3,03: APURIMAC,215226934,115466542,96367714,84184386,71175604,
3,3,04: AREQUIPA,218550991,180171416,177944854,137611233,135361146,
4,3,05: AYACUCHO,361834706,167989246,155237424,116217754,84576847,
5,3,06: CAJAMARCA,455026842,309527305,236993821,179568192,162914051,
6,3,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,177819679,102261316,107560075,151476752,130700140,
7,3,08: CUSCO,855077878,588991967,520674287,358093898,285862415,
8,3,09: HUANCAVELICA,210021633,147609840,87125484,80836765,64277155,
9,3,10: HUANUCO,251651944,165595220,142260576,98381963,77196055,
10,3,11: ICA,203413565,93781204,92885721,57068967,61340927,
11,3,12: JUNIN,229187530,217125049,128111881,110234755,87703513,
12,3,13: LA LIBERTAD,600118030,554548846,295392384,198480199,174760683,
13,3,14: LAMBAYEQUE,424238991,181624290,253691584,105209773,115111049,
14,3,15: LIMA,1424467955,1222062389,826366154,915629015,903852382,
15,3,16: LORETO,241439088,236414148,140740225,116751451,107075187,
16,3,17: MADRE DE DIOS,25131456,26159018,27907755,23372548,19924180,
17,3,18: MOQUEGUA,76226585,79719408,67421782,43781096,47063792,
18,3,19: PASCO,138944872,51139450,32598293,26281403,27186452,
19,3,20: PIURA,992526880,713741835,530172559,299135767,282307852,
20,3,21: PUNO,420329979,169300648,141707417,145793936,99798311,
21,3,22: SAN MARTIN,188886115,163410579,108486210,104801008,85840845,
22,3,23: TACNA,71961792,50969747,61125243,53099069,51068769,
23,3,24: TUMBES,256609790,211780229,144751345,106524240,37235496,
24,3,25: UCAYALI,95031047,67991258,45214465,49044565,33969477,
0,4,01: AMAZONAS,66145328,185205348,137019551,129513959,120877868,
1,4,02: ANCASH,267955335,261041413,170549244,130586711,138553321,
2,4,03: APURIMAC,84203397,54322199,62057099,52822100,68774742,
3,4,04: AREQUIPA,147352484,150937095,145060246,124915173,129341691,
4,4,05: AYACUCHO,131090467,216539130,116748172,87951293,106539765,
5,4,06: CAJAMARCA,263386165,196519643,134216427,106892778,112178365,
6,4,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,81857405,21618496,26335489,16363819,33586744,
7,4,08: CUSCO,170984435,361975774,290034370,265741489,319326034,
8,4,09: HUANCAVELICA,100440819,75349871,61403410,50596446,60246945,
9,4,10: HUANUCO,97538616,78598113,89004636,86683687,94437957,
10,4,11: ICA,85673312,35601672,33621373,44286798,37790781,
11,4,12: JUNIN,126512113,34349625,64718048,67850007,80364823,
12,4,13: LA LIBERTAD,264953602,216125488,231707062,194601345,202867398,
13,4,14: LAMBAYEQUE,161000513,97199881,95545946,117663075,112578579,
14,4,15: LIMA,556125160,404152375,435120494,428108699,489100539,
15,4,16: LORETO,55077653,156135468,156852341,134681354,135652401,
16,4,17: MADRE DE DIOS,42415990,225866520,136791773,133808231,135314524,
17,4,18: MOQUEGUA,50690119,65002034,66620196,65507410,51458048,
18,4,19: PASCO,36490776,38608275,32510892,29820269,28305718,
19,4,20: PIURA,347744037,297736064,274529171,222537993,231287130,
20,4,21: PUNO,80356518,311761716,209929486,209472007,243587185,
21,4,22: SAN MARTIN,110401509,33087443,60320992,58570251,73080808,
22,4,23: TACNA,25996448,45980120,57273854,54209535,48176939,
23,4,24: TUMBES,51992796,16888397,20300456,32138841,98667882,
24,4,25: UCAYALI,22565196,20095251,27193224,30042399,38548176,
0,5,01: AMAZONAS,106687112,59235494,55608626,58030663,56819486,
1,5,02: ANCASH,688483025,615312901,505173837,413307609,161430125,
2,5,03: APURIMAC,96437637,72463290,75722448,72279143,62836625,
3,5,04: AREQUIPA,173927245,108966259,120784781,127001274,131965258,
4,5,05: AYACUCHO,103983167,127231652,104306769,94500606,91363419,
5,5,06: CAJAMARCA,208708483,177091566,152942499,155943310,137052809,
6,5,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,-12253108,32382734,43233946,33933379,25764333,
7,5,08: CUSCO,166137571,284677089,200105313,196081131,230789313,
8,5,09: HUANCAVELICA,43503554,61116404,49276890,47204747,46343234,
9,5,10: HUANUCO,95565067,103248625,93610568,80950329,76661870,
10,5,11: ICA,97478224,137249725,72389961,62963351,45851302,
11,5,12: JUNIN,83130527,99301631,91809432,66452251,77262502,
12,5,13: LA LIBERTAD,285460571,211496698,246027564,183263930,153071988,
13,5,14: LAMBAYEQUE,123280351,217358305,118387076,92464884,93462001,
14,5,15: LIMA,509559006,648701127,536017483,536370716,483533941,
15,5,16: LORETO,44036996,93376830,143583711,124348260,122777046,
16,5,17: MADRE DE DIOS,44841780,39733444,26290041,23072658,19590441,
17,5,18: MOQUEGUA,64262500,51076943,51763008,44979522,50786229,
18,5,19: PASCO,83980513,53241278,48773764,45443491,33039982,
19,5,20: PIURA,424549228,303906490,298096691,232388399,208435381,
20,5,21: PUNO,235847923,116845428,97003012,94298109,86775668,
21,5,22: SAN MARTIN,86682021,56968367,81236618,78038376,62245270,
22,5,23: TACNA,44787983,75958032,66158828,40650208,41855610,
23,5,24: TUMBES,72004865,61394873,41882443,40346720,27038736,
24,5,25: UCAYALI,34210425,65719843,41227337,41850855,36482644,
0,6,01: AMAZONAS,109730559,34627491,45567320,47926310,61506459,
1,6,02: ANCASH,304229360,291511522,269121843,231162577,449294899,
2,6,03: APURIMAC,109195327,94662709,84904941,89184061,81427312,
3,6,04: AREQUIPA,110742031,170171824,155598152,139090531,111829449,
4,6,05: AYACUCHO,95938253,113860415,119161652,107143303,109228142,
5,6,06: CAJAMARCA,92765060,163652626,169329674,143397667,154691106,
6,6,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,26038686,20041347,15289687,25740437,33118391,
7,6,08: CUSCO,168628505,282172991,242900564,246733739,236414858,
8,6,09: HUANCAVELICA,121926156,83419113,82965030,76536243,62566095,
9,6,10: HUANUCO,25753142,61033464,114479770,106676917,107368202,
10,6,11: ICA,111758684,67628464,121326711,73591577,60692553,
11,6,12: JUNIN,149719651,99907256,105807300,87768432,66258764,
12,6,13: LA LIBERTAD,272493525,357401607,274391939,298197133,328963816,
13,6,14: LAMBAYEQUE,150008213,91467801,88831984,101165889,97221141,
14,6,15: LIMA,688647775,659783122,634242849,577233380,706286893,
15,6,16: LORETO,47810518,61359091,97855242,95201967,94897796,
16,6,17: MADRE DE DIOS,11544975,19650521,22174340,20384282,17398741,
17,6,18: MOQUEGUA,26716255,26609216,48666992,51299390,49379383,
18,6,19: PASCO,45447499,35145631,33949913,36565300,38710444,
19,6,20: PIURA,225862528,158322578,183230428,182661792,195583173,
20,6,21: PUNO,10910004,89610047,118272476,118693861,117159229,
