,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,01: AMAZONAS,824021959,1138299738,1033784621,902427692,788957407,733679390,705968634,64.5
1,2021,02: ANCASH,1774668385,4375580842,3756628033,2917769397,2756734926,2232818355,2175760067,51.0
2,2021,03: APURIMAC,960848583,1500996607,1262498165,1002784769,886070126,828434034,785399722,55.2
3,2021,04: AREQUIPA,1529278106,2887223477,2250935776,1757563974,1624285850,1397104776,1335710988,48.4
4,2021,05: AYACUCHO,960345366,1967128496,1759745726,1390209602,1165478348,1057184424,1028410070,53.7
5,2021,06: CAJAMARCA,1591514196,2886551153,2625532019,2167549341,1710793732,1506693800,1473489442,52.2
6,2021,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,495742972,774888090,689891629,510921438,477683584,398306880,389533373,51.4
7,2021,08: CUSCO,3268526557,4457483678,3593916104,3087801562,3017578467,2808204513,2585536493,63.0
8,2021,09: HUANCAVELICA,744088864,1199918628,1077098419,880505951,739064934,659839737,637823550,55.0
9,2021,10: HUANUCO,1002677002,1472499922,1336824823,1158672496,1007225365,911490382,864265406,61.9
10,2021,11: ICA,732431659,1238712283,994216906,727938027,690294576,562079509,541055284,45.4
11,2021,12: JUNIN,836210854,1653930508,1496175687,1197398922,1029565677,882821602,840755738,53.4
12,2021,13: LA LIBERTAD,1750192896,3077372296,2753489993,2328080007,2068643627,1760735753,1717830312,57.2
13,2021,14: LAMBAYEQUE,547855642,1862116520,1639621421,1378194940,1278973861,1123031430,1064828127,60.3
14,2021,15: LIMA,13980228058,10067580736,8364510195,7248014121,6792177647,6242034342,6051859210,62.0
15,2021,16: LORETO,1287632368,1739822609,1629737438,1434787322,1282066497,1177006029,1104797958,67.7
16,2021,17: MADRE DE DIOS,427089999,564372205,519714297,479798856,468237332,446254392,431684836,79.1
17,2021,18: MOQUEGUA,532914388,781737020,686878329,589489269,568597614,475565723,462905938,60.8
18,2021,19: PASCO,390814711,706084593,638121973,465961380,426342626,387191585,364925568,54.8
19,2021,20: PIURA,1605121710,4409886024,3945835681,3321250907,2929912447,2479295956,2399886376,56.2
20,2021,21: PUNO,1738295120,2584860237,2235512569,1761578637,1633449804,1540805273,1488758752,59.6
21,2021,22: SAN MARTIN,780350974,1272842862,1201190762,1012143926,847452151,807977113,782437697,63.5
22,2021,23: TACNA,505840359,877348645,785008338,637538959,622684872,513580992,494879658,58.5
23,2021,24: TUMBES,226320354,726504879,624328113,491615342,470312374,382476521,375336611,52.6
24,2021,25: UCAYALI,495001646,716478075,647261287,556906126,491955479,445464143,414164976,62.2
25,2021,98: EXTERIOR,0,418720,418720,418135,418135,418135,296373,99.9
