,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,131348034,225075611,208454131,155531846,130459738,129872620,125174636,57.7
1,2,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,191045972,296248859,271251441,189896908,178632764,151499882,142120514,51.1
2,2,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,168996300,250126855,185379676,142093222,138611945,125038246,122974264,50.0
3,2,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,502623548,656996880,410636572,346249793,345870993,325075650,318843724,49.5
4,2,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,222412991,441406266,408551738,346349373,249711566,228280984,221725223,51.7
5,2,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,287773312,507909535,496196591,351083291,195975579,168691736,161847807,33.2
6,2,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,436511305,459907763,428051210,360668270,346639727,325466297,316962108,70.8
7,2,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,87524778,271901779,256452756,212249888,98742619,95903465,95298994,35.3
8,2,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,171430294,257136671,236713722,221737259,194487543,176290320,172831241,68.6
9,2,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,223244393,173386573,136135857,125417971,119344172,92228563,92076777,53.2
10,2,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,279446190,413036103,363463992,259527419,173180009,162265197,153630016,39.3
11,2,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,322961404,180459513,168239187,146400473,100689667,98893867,92619045,54.8
12,2,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,83270332,108485376,104944513,97483029,77182811,64836431,60088571,59.8
13,2,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,128780489,508466826,506006411,455930570,396837776,376462033,316401089,74.0
