,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,03,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,14367901,13322442,13162109,11827943,11823918,11614315,11561430,87.2
1,03,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,12433558,30503042,22374700,16282531,15871426,12003553,11732521,39.4
2,03,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,10906156,11418568,10248493,9567987,9417843,8117205,8086475,71.1
3,03,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,16995908,20648088,16259818,15301891,15291787,11374916,11294373,55.1
4,03,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,7082718,11765418,11402365,11286380,11109093,10333898,10239624,87.8
5,03,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,14773265,5394781,5160878,4466282,4337318,3566911,3299458,66.1
6,03,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,16846368,22848856,21021102,19811534,18198951,16655220,16387039,72.9
7,03,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,5763902,6360031,5472125,4471556,3813947,3551792,3513575,55.8
8,03,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,25335273,9119871,7332361,6675610,6574375,4867243,4688378,53.4
9,03,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,7779305,3065760,2600895,2150619,1870698,819967,819967,26.7
10,03,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,33417901,75351025,74757111,48838180,48110288,47302020,38600797,62.8
11,03,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,3349349,16436991,15430301,8831884,6309787,5481228,5391228,33.3
12,03,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,5754148,4983956,4743730,4736918,2147544,1806937,1786437,36.3
13,03,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,268179287,38299749,37284969,30387732,30201864,23851305,22109035,62.3
14,03,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,19313002,26806859,21734289,19446732,17894421,15235868,13365721,56.8
15,03,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,5095883,6077183,5536923,5156036,5130086,3795084,3770335,62.4
16,03,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,13223220,13297086,12936194,9162802,9120593,8790286,8350527,66.1
17,03,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,22155818,41544208,40026089,38158868,36842036,34985877,29887424,84.2
