,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,040101-300331: MUNICIPALIDAD PROVINCIAL DE AREQUIPA,14066898,7047073,6234759,5858241,4330738,
1,1,040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,6344748,2572772,1247808,1068140,792877,
2,1,040103-300333: MUNICIPALIDAD DISTRITAL DE CAYMA,26182133,5610577,5190332,1856466,1276187,
3,1,040104-300334: MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,46981982,21928251,7359058,6339470,5951619,
4,1,040105-300335: MUNICIPALIDAD DISTRITAL DE CHARACATO,6366962,4183773,526946,191919,136458,
5,1,040106-300336: MUNICIPALIDAD DISTRITAL DE CHIGUATA,1005259,289062,70496,67553,57303,
6,1,040107-300337: MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER,7527053,1452386,1139980,681369,417454,
7,1,040108-300338: MUNICIPALIDAD DISTRITAL DE LA JOYA,7211396,5847415,790827,719006,466360,
8,1,040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,6209300,5592972,917603,1052122,538426,
9,1,040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,7979956,5125327,795233,697415,544287,
10,1,040111-300341: MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,2512926,253913,140394,50752,5374,
11,1,040112-300342: MUNICIPALIDAD DISTRITAL DE PAUCARPATA,25122921,2258179,2155249,1843996,1378738,
12,1,040113-300343: MUNICIPALIDAD DISTRITAL DE POCSI,2198895,1700753,664515,636515,632715,
13,1,040114-300344: MUNICIPALIDAD DISTRITAL DE POLOBAYA,28702,23045,23045,23045,22530,
14,1,040115-300345: MUNICIPALIDAD DISTRITAL DE QUEQUE¥A,1641651,512011,105174,93753,81790,
15,1,040116-300346: MUNICIPALIDAD DISTRITAL DE SABANDIA,532136,232400,176173,70104,70104,
16,1,040117-300347: MUNICIPALIDAD DISTRITAL DE SACHACA,7269104,6863036,928290,878450,705580,
17,1,040118-300348: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SIGUAS,210474,138799,20474,20681,17857,
18,1,040119-300349: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI,337065,79628,47163,31293,31293,
19,1,040120-300350: MUNICIPALIDAD DISTRITAL DE SANTA ISABEL DE SIGUAS,837184,379403,224149,56798,56578,
20,1,040121-300351: MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,1491765,494046,366762,135780,134506,
21,1,040122-300352: MUNICIPALIDAD DISTRITAL DE SOCABAYA,5921691,3704833,2457335,1488474,1287792,
22,1,040123-300353: MUNICIPALIDAD DISTRITAL DE TIABAYA,5811049,2065010,1759553,1301836,976238,
23,1,040124-300354: MUNICIPALIDAD DISTRITAL DE UCHUMAYO,3210064,1276873,1246588,1011190,979767,
24,1,040125-300355: MUNICIPALIDAD DISTRITAL DE VITOR,1751699,1116554,718297,528447,412574,
25,1,040126-300356: MUNICIPALIDAD DISTRITAL DE YANAHUARA,9922009,2161111,1939126,1027732,725852,
26,1,040127-300357: MUNICIPALIDAD DISTRITAL DE YARABAMBA,29047110,15940805,15473083,5178897,3745323,
27,1,040128-300358: MUNICIPALIDAD DISTRITAL DE YURA,10715891,827157,802712,569378,328738,
28,1,040129-300359: MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO,8026792,2479495,2313954,1182477,701015,
29,1,040201-300360: MUNICIPALIDAD PROVINCIAL DE CAMANA,4960429,3114339,1071669,626889,492233,
30,1,040202-300361: MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,459941,57466,57466,57466,57466,
31,1,040203-300362: MUNICIPALIDAD DISTRITAL DE MARIANO NICOLAS VALCARCEL,303649,14840,14840,14840,14840,
32,1,040204-300363: MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES,2181970,503519,219835,220582,203244,
33,1,040205-300364: MUNICIPALIDAD DISTRITAL DE NICOLAS DE PIEROLA,1782616,1560485,951339,787534,757701,
34,1,040206-300365: MUNICIPALIDAD DISTRITAL DE OCOÑA,750509,311095,291885,171128,155773,
35,1,040207-300366: MUNICIPALIDAD DISTRITAL DE QUILCA,3811602,821715,654534,438337,369915,
36,1,040208-300367: MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,3523013,1083055,469787,326065,157602,
