,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,040101-300331: MUNICIPALIDAD PROVINCIAL DE AREQUIPA,108767938,235388769,217784172,201737188,166442005,155473757,148922189,66.1
1,2021,040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,46518150,86581908,71929473,63743857,63004407,36221750,34932921,41.8
2,2021,040103-300333: MUNICIPALIDAD DISTRITAL DE CAYMA,35160236,73292814,70228437,62046986,61746826,52146722,51577229,71.1
3,2021,040104-300334: MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,78660698,215591173,190603005,166553824,142445764,135828865,134454071,63.0
4,2021,040105-300335: MUNICIPALIDAD DISTRITAL DE CHARACATO,5523495,21423214,19263805,11674899,11264841,9342793,9298267,43.6
5,2021,040106-300336: MUNICIPALIDAD DISTRITAL DE CHIGUATA,2289750,5760082,5567581,4413606,4231777,3985885,3802231,69.2
6,2021,040107-300337: MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER,16397029,38355784,35578456,28797428,26799539,24026694,23780752,62.6
7,2021,040108-300338: MUNICIPALIDAD DISTRITAL DE LA JOYA,52084944,88737176,84299652,75006459,74470726,62314796,62013222,70.2
8,2021,040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,17611282,49106814,37449759,34769572,29004541,27070324,26593625,55.1
9,2021,040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,16408697,36696700,35524628,25660513,23252136,22053846,21858158,60.1
10,2021,040111-300341: MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,2780935,13479501,11654432,7651865,7507659,6198559,6005463,46.0
11,2021,040112-300342: MUNICIPALIDAD DISTRITAL DE PAUCARPATA,41546597,97698872,85120762,67215366,64670023,55715312,54815639,57.0
12,2021,040113-300343: MUNICIPALIDAD DISTRITAL DE POCSI,743911,4118742,4011443,3278313,2928278,2924482,2886939,71.0
13,2021,040114-300344: MUNICIPALIDAD DISTRITAL DE POLOBAYA,1229423,4268179,3541118,3311886,3297324,3236804,3228427,75.8
14,2021,040115-300345: MUNICIPALIDAD DISTRITAL DE QUEQUE¥A,2900650,5643937,5327244,4385077,4286988,3814439,3766701,67.6
15,2021,040116-300346: MUNICIPALIDAD DISTRITAL DE SABANDIA,3782013,8129489,6510878,3966528,3935095,3503295,3488592,43.1
16,2021,040117-300347: MUNICIPALIDAD DISTRITAL DE SACHACA,12872289,27040335,25827302,24391230,23377706,20247662,20062207,74.9
17,2021,040118-300348: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SIGUAS,858681,3126036,2967743,1131089,1110289,1074440,1071382,34.4
