,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,040101-300331: MUNICIPALIDAD PROVINCIAL DE AREQUIPA,2891888,558838,285371,219458,186705,
1,1,040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,4501894,1093647,138204,106160,106160,
2,1,040103-300333: MUNICIPALIDAD DISTRITAL DE CAYMA,21523936,2160020,1884252,132547,132547,
3,1,040104-300334: MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,37729428,17011605,4418740,4365340,4363740,
4,1,040105-300335: MUNICIPALIDAD DISTRITAL DE CHARACATO,5200502,3646673,24200,0,0,
5,1,040106-300336: MUNICIPALIDAD DISTRITAL DE CHIGUATA,517485,34306,34261,30051,30051,
6,1,040107-300337: MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER,3705823,278358,207605,82173,63972,
7,1,040108-300338: MUNICIPALIDAD DISTRITAL DE LA JOYA,6122746,5387405,333462,338981,193274,
8,1,040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,4556495,4438041,53707,52041,50534,
9,1,040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,4426294,2124354,96351,96351,96351,
10,1,040111-300341: MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,1970936,96725,81967,42983,0,
11,1,040112-300342: MUNICIPALIDAD DISTRITAL DE PAUCARPATA,15896555,529240,494850,453250,435120,
12,1,040113-300343: MUNICIPALIDAD DISTRITAL DE POCSI,1808304,1651088,638250,610250,610250,
13,1,040114-300344: MUNICIPALIDAD DISTRITAL DE POLOBAYA,10363,10362,10362,10362,10362,
14,1,040115-300345: MUNICIPALIDAD DISTRITAL DE QUEQUE¥A,1439895,347500,62463,58542,51380,
15,1,040116-300346: MUNICIPALIDAD DISTRITAL DE SABANDIA,277735,0,0,0,0,
16,1,040117-300347: MUNICIPALIDAD DISTRITAL DE SACHACA,23000,23000,23000,0,0,
17,1,040119-300349: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI,44412,21360,21360,21360,21360,
18,1,040120-300350: MUNICIPALIDAD DISTRITAL DE SANTA ISABEL DE SIGUAS,665491,209491,153355,31508,31508,
19,1,040121-300351: MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,1263793,323954,196944,70275,70275,
20,1,040122-300352: MUNICIPALIDAD DISTRITAL DE SOCABAYA,2723254,1600750,1273858,775875,747586,
21,1,040123-300353: MUNICIPALIDAD DISTRITAL DE TIABAYA,4180968,1540174,1362045,1267175,974096,
22,1,040124-300354: MUNICIPALIDAD DISTRITAL DE UCHUMAYO,2482169,874182,874065,830457,830340,
23,1,040125-300355: MUNICIPALIDAD DISTRITAL DE VITOR,1093882,495764,310086,266128,261472,
24,1,040126-300356: MUNICIPALIDAD DISTRITAL DE YANAHUARA,1028754,580315,443316,93153,82366,
25,1,040127-300357: MUNICIPALIDAD DISTRITAL DE YARABAMBA,25598775,14327955,13959106,4177903,3265785,
26,1,040128-300358: MUNICIPALIDAD DISTRITAL DE YURA,5732401,155450,146846,105127,33157,
27,1,040129-300359: MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO,1854467,527580,456834,21750,21000,
28,1,040201-300360: MUNICIPALIDAD PROVINCIAL DE CAMANA,489479,248728,245228,1213,1213,
29,1,040202-300361: MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,354813,17540,17540,17540,17540,
30,1,040203-300362: MUNICIPALIDAD DISTRITAL DE MARIANO NICOLAS VALCARCEL,10580,10580,10580,10580,10580,
31,1,040204-300363: MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES,1725070,176033,176033,176033,162584,
32,1,040205-300364: MUNICIPALIDAD DISTRITAL DE NICOLAS DE PIEROLA,676387,591312,590112,588912,588912,
33,1,040206-300365: MUNICIPALIDAD DISTRITAL DE OCOÑA,552636,119550,118650,52770,52770,
34,1,040207-300366: MUNICIPALIDAD DISTRITAL DE QUILCA,3604468,637652,624799,408151,342093,
35,1,040208-300367: MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,2444598,193360,165952,131410,49339,
36,1,040301-300368: MUNICIPALIDAD PROVINCIAL DE CARAVELI,487916,436678,436678,137943,133159,
37,1,040302-300369: MUNICIPALIDAD DISTRITAL DE ACARI,516137,100075,98875,98875,92908,
38,1,040303-300370: MUNICIPALIDAD DISTRITAL DE ATICO,115564,23497,23497,16308,16108,
39,1,040304-300371: MUNICIPALIDAD DISTRITAL DE ATIQUIPA,67041,15308,15308,15308,15308,
40,1,040305-300372: MUNICIPALIDAD DISTRITAL DE BELLA UNION,2147817,241180,186142,192642,180628,
41,1,040306-300373: MUNICIPALIDAD DISTRITAL DE CAHUACHO,5027,0,0,0,0,
42,1,040307-300374: MUNICIPALIDAD DISTRITAL DE CHALA,32873,25855,5855,5855,4796,
43,1,040308-300375: MUNICIPALIDAD DISTRITAL DE CHAPARRA,2067368,164010,157588,164010,147135,
44,1,040309-300376: MUNICIPALIDAD DISTRITAL DE HUANUHUANU,136709,0,0,0,0,
45,1,040311-300378: MUNICIPALIDAD DISTRITAL DE LOMAS,104068,15349,15349,15349,15349,
46,1,040312-300379: MUNICIPALIDAD DISTRITAL DE QUICACHA,2658070,108476,71490,71490,63990,
47,1,040313-300380: MUNICIPALIDAD DISTRITAL DE YAUCA,268864,16863,16863,16863,16863,
