,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,01: AMAZONAS,86190665,68370912,20043958,15704304,9830380,
1,1,02: ANCASH,308937180,97488815,63844827,37581611,28444607,
2,1,03: APURIMAC,67358076,27042636,12715808,10656344,7620372,
3,1,04: AREQUIPA,404227413,153717273,79868072,49004001,38834242,
4,1,05: AYACUCHO,108599866,46917231,13394926,12342167,9112712,
5,1,06: CAJAMARCA,468081003,199576994,68884176,46617115,33428358,
6,1,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,142200587,76163538,41501352,23725727,15110427,
7,1,08: CUSCO,154403072,41911520,29091198,19424534,9780935,
8,1,09: HUANCAVELICA,142331522,41573838,16137777,10700262,8898883,
9,1,10: HUANUCO,174361513,103810456,21166598,17168967,11661741,
10,1,11: ICA,87449159,37969696,28911009,22023929,17454739,
11,1,12: JUNIN,215145929,128860663,40610313,24069322,15352328,
12,1,13: LA LIBERTAD,592491471,331080236,59849497,35908603,25243691,
13,1,14: LAMBAYEQUE,193982676,107806720,39894336,28606509,16725009,
14,1,15: LIMA,1842338913,888621116,454913993,252619907,161637837,
15,1,16: LORETO,287289089,132309770,37231144,35820796,29219089,
16,1,17: MADRE DE DIOS,21241570,18890433,4390499,3002605,2321138,
17,1,18: MOQUEGUA,162767493,69797305,43163799,10490607,8290255,
18,1,19: PASCO,30971719,9356665,6086272,4714042,3363613,
19,1,20: PIURA,375206611,150791425,60920407,45031721,35330808,
20,1,21: PUNO,167841611,48386182,20926452,16519480,9754520,
21,1,22: SAN MARTIN,372387243,156258050,29740604,25122859,20368167,
22,1,23: TACNA,60976992,26980609,17636058,8507822,3864875,
23,1,24: TUMBES,96030018,49903288,9680302,7563022,6032380,
24,1,25: UCAYALI,116669605,42378550,15356570,12207974,8852485,
0,2,01: AMAZONAS,108462321,48884361,31594017,26000163,29424175,
1,2,02: ANCASH,541852183,237443993,177553248,100298313,89620274,
2,2,03: APURIMAC,137070942,92152720,39422295,34181446,28629017,
3,2,04: AREQUIPA,489362481,316501683,206247885,127452399,107893119,
4,2,05: AYACUCHO,241039207,127532427,64087119,44862711,39447802,
5,2,06: CAJAMARCA,537093504,417622784,169507256,109086811,100582756,
6,2,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,120389114,96642284,57721817,40421711,25926040,
7,2,08: CUSCO,363183814,195245925,149733010,111406439,85073142,
