,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,01: AMAZONAS,305868965,652978719,588596259,513742954,459448111,425446693,420741323,65.2
1,2021,02: ANCASH,1306349536,3490235110,3034457306,2193741519,2080232710,1713895927,1671012297,49.1
2,2021,03: APURIMAC,528534552,1212091968,1044568644,855198219,736678387,678321063,653064546,56.0
3,2021,04: AREQUIPA,1097495632,2676964715,2303104091,1844709866,1673523205,1462700019,1427463563,54.6
4,2021,05: AYACUCHO,636299180,1638377973,1437556472,1122679150,983456361,903374176,885319419,55.1
5,2021,06: CAJAMARCA,1294254252,2711836945,2466888379,2160393866,1860570723,1662254246,1635670698,61.3
6,2021,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,687168687,889296690,688431878,640509570,617656046,555159322,529632466,62.4
7,2021,08: CUSCO,1750729275,3359452228,2846731857,2367512454,2317138313,2103114273,2016320842,62.6
8,2021,09: HUANCAVELICA,448960471,1050534395,965315652,806918104,737028096,652821535,642770606,62.1
9,2021,10: HUANUCO,580491769,1093702939,1002101209,867353095,759270586,690274135,677359867,63.1
10,2021,11: ICA,476448512,1127015902,949458801,712091679,684798829,629473180,620859299,55.9
11,2021,12: JUNIN,704348761,1490543104,1343567889,1161305988,1085943188,896058823,879388363,60.1
12,2021,13: LA LIBERTAD,1167367206,2708444114,2533781482,2170672968,1931994192,1654591317,1624314608,61.1
13,2021,14: LAMBAYEQUE,502471016,1145803168,1070588750,868310942,772336064,698440885,685358265,61.0
14,2021,15: LIMA,5440075151,7887617594,7119936042,6459202423,6055714924,5575059397,5392141526,70.7
15,2021,16: LORETO,621788669,1022968684,942672821,824380065,769206296,734963582,723067333,71.8
16,2021,17: MADRE DE DIOS,94914617,192595386,168837755,140839265,132368181,114070058,110983415,59.2
17,2021,18: MOQUEGUA,354387151,677390365,596729120,496204459,486701898,386808047,376403677,57.1
18,2021,19: PASCO,211535477,416627869,369948490,319654218,291393411,246555945,239781384,59.2
19,2021,20: PIURA,1150609552,3087492909,2820746165,2274873163,2076679320,1795745896,1765268570,58.2
20,2021,21: PUNO,822847482,1559462239,1441371812,1165190189,1054720025,989476262,960053179,63.5
21,2021,22: SAN MARTIN,644975103,1150142980,1076830826,957227548,784775132,761478712,749376104,66.2
22,2021,23: TACNA,365935039,877716303,777306609,673016381,665972992,539660131,520250326,61.5
23,2021,24: TUMBES,147392460,335447986,305963531,236877228,218537647,198773727,195600957,59.3
24,2021,25: UCAYALI,307445303,543963980,484013758,420073403,382774996,358602456,348610605,65.9
