,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,01: AMAZONAS,41447189,35551445,11995329,8604762,3742230,
1,1,02: ANCASH,190152685,44615361,35722496,14657209,11076697,
2,1,03: APURIMAC,28878031,8357220,6748769,5553571,3571342,
3,1,04: AREQUIPA,266625303,82278018,40198565,21469773,18519799,
4,1,05: AYACUCHO,59638246,26426083,6805081,6796499,4577686,
5,1,06: CAJAMARCA,245733239,96378460,37721331,19518980,9403797,
6,1,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,6823463,1304132,1180852,1049387,666633,
7,1,08: CUSCO,77912794,14662932,9784146,5698764,1391542,
8,1,09: HUANCAVELICA,78039580,16638243,5626562,4379781,3659745,
9,1,10: HUANUCO,62970627,23959462,6737323,6922723,3713232,
10,1,11: ICA,35643036,6951785,5139308,2922961,2069958,
11,1,12: JUNIN,83729334,42047586,15609315,5485558,2024229,
12,1,13: LA LIBERTAD,235579239,82150952,23601362,8605325,3834464,
13,1,14: LAMBAYEQUE,53662515,22865221,9225416,2038225,1228319,
14,1,15: LIMA,375975294,76760200,64468217,48632050,40044360,
15,1,16: LORETO,120028318,18064658,5810319,5771747,4142046,
16,1,17: MADRE DE DIOS,2185709,1631974,1350318,735593,515603,
17,1,18: MOQUEGUA,82116354,29890266,25180462,2587638,1650986,
18,1,19: PASCO,5671096,490225,451754,395088,231896,
19,1,20: PIURA,167335174,45732080,18449443,10399950,8270384,
20,1,21: PUNO,71410093,14941090,9455049,7266371,2963713,
21,1,22: SAN MARTIN,244865450,80620165,12358568,10643715,7297035,
22,1,23: TACNA,27767174,9076044,8404292,2158858,1262847,
23,1,24: TUMBES,40976803,7794074,3841348,2733329,2424414,
24,1,25: UCAYALI,51560272,19488431,4261386,2724669,1105393,
0,2,01: AMAZONAS,71361338,29178765,19578171,15037981,18538282,
1,2,02: ANCASH,391028194,161658316,128623755,65396026,57363071,
2,2,03: APURIMAC,97120787,66113568,23472857,20916747,16285569,
3,2,04: AREQUIPA,345463089,226172815,134301462,72011185,57011708,
4,2,05: AYACUCHO,190255365,99262051,44661828,28812074,24633836,
5,2,06: CAJAMARCA,408091360,320090435,105513753,64280529,64225382,
6,2,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,32777559,22590267,4130313,245308,0,
7,2,08: CUSCO,219125195,111308828,97314914,68118421,46791884,
8,2,09: HUANCAVELICA,87058907,54058095,34927233,18173919,15876104,
9,2,10: HUANUCO,106409642,87620832,32930737,23604112,21356016,
10,2,11: ICA,86744741,31165663,22886935,16481021,14715838,
11,2,12: JUNIN,114626718,81161102,41825423,19989190,14602575,
12,2,13: LA LIBERTAD,310260210,257012980,119365502,53195266,47518879,
13,2,14: LAMBAYEQUE,94677473,59073216,40089132,27044283,21904522,
14,2,15: LIMA,374541147,271483940,217348719,155009229,143193802,
15,2,16: LORETO,73325254,22207751,15230919,22007836,12734614,
16,2,17: MADRE DE DIOS,8292381,6237798,4427959,2513740,2308844,
17,2,18: MOQUEGUA,33528179,27396528,26774058,9596359,8864553,
18,2,19: PASCO,36443029,14446911,4564383,3509298,2441438,
19,2,20: PIURA,229796659,156214448,125060742,57573207,44251176,
20,2,21: PUNO,179560281,60508337,28052106,20466701,16630993,
21,2,22: SAN MARTIN,90162013,111929639,30109019,29212062,29698164,
22,2,23: TACNA,81075884,34582340,25260717,13991140,9937258,
23,2,24: TUMBES,21008192,23522696,15236027,9172484,6339994,
24,2,25: UCAYALI,38753725,20961582,13289302,8761973,9133728,
0,3,01: AMAZONAS,77616202,51149983,34095679,32268032,24316874,
1,3,02: ANCASH,337656068,217093622,170755562,115293093,103505003,
2,3,03: APURIMAC,123654630,54514607,44866210,41141865,32503550,
3,3,04: AREQUIPA,123794996,106938578,117956241,89042738,84634827,
4,3,05: AYACUCHO,175803315,101537675,97844163,72317097,47282238,
5,3,06: CAJAMARCA,337181146,266077880,202253736,145823508,126854608,
6,3,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,42516761,9889250,25134142,9564754,6042445,
7,3,08: CUSCO,402747959,237687021,214188210,160713053,128780351,
8,3,09: HUANCAVELICA,110020344,92706873,65985880,55899613,37546932,
9,3,10: HUANUCO,160156273,92564757,81357813,55892223,37812565,
10,3,11: ICA,86700266,53615017,49724480,32423455,28317322,
11,3,12: JUNIN,119320751,94314393,78088207,60069795,43958489,
12,3,13: LA LIBERTAD,439742934,367527139,236836575,151436351,135228081,
13,3,14: LAMBAYEQUE,220467268,110637616,65764850,51616827,49539230,
14,3,15: LIMA,413943806,292842492,232095052,228052826,198775261,
15,3,16: LORETO,75105673,133180674,64882460,54223230,54072906,
16,3,17: MADRE DE DIOS,12497385,7826270,6907540,7415753,4877726,
17,3,18: MOQUEGUA,42437995,49091194,42281613,21995648,19401146,
18,3,19: PASCO,42471796,38329352,21259725,15386317,12817077,
19,3,20: PIURA,465643294,267464904,206215994,149744646,137121739,
20,3,21: PUNO,122519401,101348789,81166278,81436174,54576757,
21,3,22: SAN MARTIN,69170774,63215253,60713324,56332321,51307182,
22,3,23: TACNA,45409771,32381046,33706140,27168166,24075028,
23,3,24: TUMBES,50764857,34772004,27136524,17011276,18806692,
24,3,25: UCAYALI,49982391,22328326,24778471,21404188,14596604,
0,4,01: AMAZONAS,12583888,16955343,21435758,15484293,22259474,
1,4,02: ANCASH,184080201,184374292,110897431,73781821,83973865,
2,4,03: APURIMAC,56113604,30144194,27275829,19619326,29551503,
3,4,04: AREQUIPA,73519873,93065912,86370557,68657729,79550377,
4,4,05: AYACUCHO,86720074,58473652,40554896,22786451,44136345,
5,4,06: CAJAMARCA,156023887,128994793,80526164,70334603,84165700,
6,4,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,10928853,11465366,11427791,2777456,6053621,
7,4,08: CUSCO,115333847,114431982,103042366,95173712,110453108,
8,4,09: HUANCAVELICA,39928122,34061093,34991790,22736109,36273606,
9,4,10: HUANUCO,40545790,22567240,20739540,18936991,38438086,
10,4,11: ICA,34571465,16091459,17258426,21178464,22824159,
11,4,12: JUNIN,63901026,33217971,28937183,26431745,43169193,
12,4,13: LA LIBERTAD,146065355,78413110,126891786,93003283,102915116,
13,4,14: LAMBAYEQUE,44879104,31140683,33216449,33395991,35145963,
14,4,15: LIMA,152125434,131061768,141830866,117251591,133678128,
15,4,16: LORETO,8051178,23670661,22381975,22615476,24945039,
16,4,17: MADRE DE DIOS,3320005,3221944,4047416,3153585,4935791,
17,4,18: MOQUEGUA,25869000,15645442,15606490,16046345,17876180,
18,4,19: PASCO,11778239,7381165,5573639,4613056,6829234,
19,4,20: PIURA,190219802,109074616,95354595,87941064,97439684,
20,4,21: PUNO,52760442,26615809,28078798,24209998,48409386,
21,4,22: SAN MARTIN,22725549,18375363,32856727,35039705,35882148,
22,4,23: TACNA,32904367,24936150,25259677,22087643,23868794,
23,4,24: TUMBES,11387004,4966619,8901779,12028612,12874526,
24,4,25: UCAYALI,4615820,7141468,6131756,5776614,11752260,
0,5,01: AMAZONAS,36958304,20435512,18354395,16780565,17230574,
1,5,02: ANCASH,134672262,79703517,103698082,91298507,84083262,
2,5,03: APURIMAC,34392956,42177407,35048410,30149003,28906458,
3,5,04: AREQUIPA,88792878,53097823,66599052,68020205,68598544,
4,5,05: AYACUCHO,56631271,98145000,53241854,54743805,52463397,
5,5,06: CAJAMARCA,69379658,62305762,79468273,77267407,82694517,
6,5,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,1727917,2391370,1523142,3472248,1922344,
7,5,08: CUSCO,124196677,125854520,124265784,122299340,121545066,
8,5,09: HUANCAVELICA,27130311,17307071,21189359,21626652,24161967,
9,5,10: HUANUCO,21827311,22403408,24980710,25388695,23431872,
10,5,11: ICA,38132759,34260412,25844717,25745294,26242909,
11,5,12: JUNIN,52156777,69808178,57187100,37612366,37850151,
12,5,13: LA LIBERTAD,83043082,71606678,137277173,97410672,93623685,
13,5,14: LAMBAYEQUE,70293613,73669582,58207260,33888065,31834293,
14,5,15: LIMA,86088163,93022501,106797433,90714088,103016467,
15,5,16: LORETO,11296437,10714001,20165113,17589205,21443476,
16,5,17: MADRE DE DIOS,5313855,4205488,3880595,3789134,3539501,
17,5,18: MOQUEGUA,17831845,20260180,20239729,20928715,18560522,
18,5,19: PASCO,16221477,18502469,12831762,10884259,9088379,
19,5,20: PIURA,224229068,94723653,108963784,81919141,86286398,
20,5,21: PUNO,62140385,38879882,42704597,38533280,35830823,
21,5,22: SAN MARTIN,51142393,25590903,38128067,31523137,34720982,
22,5,23: TACNA,41583388,55371913,44396863,19287869,17991068,
23,5,24: TUMBES,7047640,4690522,6588736,8831102,8541196,
24,5,25: UCAYALI,2315123,16748938,10289873,9756703,9837307,
0,6,01: AMAZONAS,16517634,18975925,16913225,16636623,17584413,
1,6,02: ANCASH,137903328,129191531,137693053,101730254,101109341,
2,6,03: APURIMAC,72259784,33618656,40600902,45649354,39475946,
3,6,04: AREQUIPA,63257391,99931862,83073589,69245645,65892184,
4,6,05: AYACUCHO,70488631,68731054,73930018,64638441,66899350,
5,6,06: CAJAMARCA,63534075,110392073,104634810,91927149,90021840,
6,6,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,1238639,4329015,6324144,5576849,6331306,
7,6,08: CUSCO,88470636,117428802,112175045,115394392,111758108,
8,6,09: HUANCAVELICA,52603738,56749516,49873551,43379620,35742169,
9,6,10: HUANUCO,36783511,54528843,40525148,36859227,34146014,
10,6,11: ICA,16920982,32875816,37248403,26917638,25986566,
11,6,12: JUNIN,38189959,50113968,65463464,40281211,37067181,
12,6,13: LA LIBERTAD,57761404,103741440,74120403,96875054,99782754,
13,6,14: LAMBAYEQUE,44252086,27090846,39381921,35816244,36619531,
14,6,15: LIMA,323586056,309668745,126682854,117003409,117151869,
15,6,16: LORETO,25987066,18365110,17655762,17457030,17484728,
16,6,17: MADRE DE DIOS,4304674,5702144,4573093,4935499,4005565,
17,6,18: MOQUEGUA,14238780,15656685,16977662,18705180,19292558,
18,6,19: PASCO,8962990,10282618,12131038,12128711,11005363,
19,6,20: PIURA,175651754,110637656,96477339,93227705,89803784,
20,6,21: PUNO,66769966,59523618,53489039,53721238,47727972,
21,6,22: SAN MARTIN,28899376,73338838,45254939,46799107,43820541,
22,6,23: TACNA,43877478,25984671,25430420,27138853,26812698,
23,6,24: TUMBES,5227595,19312537,17700047,8790027,8169767,
24,6,25: UCAYALI,10723784,14910286,16476261,12195888,13176736,
0,7,01: AMAZONAS,11525920,21446993,21054958,21304723,18632582,
1,7,02: ANCASH,136244035,108454430,107049110,104308402,101113809,
2,7,03: APURIMAC,57670022,38239344,41697316,42345970,42842416,
3,7,04: AREQUIPA,45874038,55692372,62591209,76057514,72790153,
4,7,05: AYACUCHO,68148563,50994914,67440097,65936443,65266176,
5,7,06: CAJAMARCA,73946754,90022350,98891167,103895121,98530444,
6,7,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,25312740,5762118,2199874,4216630,4746111,
7,7,08: CUSCO,81984170,113590162,119642685,117370071,123286753,
8,7,09: HUANCAVELICA,40995759,37480731,47264719,40359438,43074730,
9,7,10: HUANUCO,25858596,21943957,33169981,33024418,35032097,
10,7,11: ICA,21096172,28840549,27154890,22571316,22076783,
11,7,12: JUNIN,39034450,29925381,42679408,45594354,42769831,
12,7,13: LA LIBERTAD,89798652,104032090,107198311,102103320,98459036,
13,7,14: LAMBAYEQUE,18113315,52475132,61419190,37873005,36057738,
14,7,15: LIMA,150272754,151481034,120850270,120989829,119755312,
15,7,16: LORETO,12913702,38911349,47984297,42476180,38314819,
16,7,17: MADRE DE DIOS,11036834,6384751,5904744,5000189,5778832,
17,7,18: MOQUEGUA,16588766,26272078,27219987,17609957,18480420,
18,7,19: PASCO,13940745,9555379,11487424,13864167,14686253,
19,7,20: PIURA,62721909,147471173,132079299,108495380,111584238,
20,7,21: PUNO,26392961,89364024,52559268,44009955,46618577,
21,7,22: SAN MARTIN,25390239,34876499,38094557,37295516,36700675,
22,7,23: TACNA,39511594,30733603,32030991,27621418,27944319,
23,7,24: TUMBES,4316131,4881017,6745312,9869570,9721266,
24,7,25: UCAYALI,9025534,13683017,15460132,13977389,12843374,
0,8,01: AMAZONAS,21029116,10967387,18175608,18960271,21154960,
1,8,02: ANCASH,144364464,125743362,125238630,112843725,115756005,
2,8,03: APURIMAC,50874486,56512684,50655398,43801624,42687365,
3,8,04: AREQUIPA,65831624,110883815,70903004,70877180,79265047,
4,8,05: AYACUCHO,67956874,57181271,61293603,64667653,66777789,
5,8,06: CAJAMARCA,74164457,60128611,106475239,98496492,102207205,
6,8,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,3477034,1329782,4932383,9414597,8801770,
7,8,08: CUSCO,168659599,131118372,140993338,131214118,128548344,
8,8,09: HUANCAVELICA,23909744,29680672,33501647,38479550,41487988,
9,8,10: HUANUCO,37304336,36505027,37370920,36387158,36298943,
10,8,11: ICA,43890616,26861635,22955199,23218398,25727857,
11,8,12: JUNIN,38719559,36342934,36400314,37534568,44954841,
12,8,13: LA LIBERTAD,86016022,76409271,106972280,99319661,105376594,
13,8,14: LAMBAYEQUE,35369647,32867997,35418162,40969342,39297205,
14,8,15: LIMA,127549133,165117550,184460828,162804063,136991241,
15,8,16: LORETO,25805446,16334809,22121022,25290829,29008444,
16,8,17: MADRE DE DIOS,4611888,5736348,4306648,4375069,4939903,
17,8,18: MOQUEGUA,21781088,15927593,16275360,18818373,19746127,
18,8,19: PASCO,10584746,11898954,13601207,12891587,13506085,
19,8,20: PIURA,140788723,168220482,128929880,125469132,124133595,
20,8,21: PUNO,62202261,64798667,51627426,53527237,53750368,
21,8,22: SAN MARTIN,36530675,23148538,38925321,40127438,42717007,
22,8,23: TACNA,51148191,25915540,26555413,30008670,25543703,
23,8,24: TUMBES,24998597,5094906,6482268,8401901,8118002,
24,8,25: UCAYALI,8117729,12316260,13312242,14907375,16158819,
0,9,01: AMAZONAS,14580601,22938713,20627477,19899351,20329684,
1,9,02: ANCASH,153450465,82657966,105629656,114034126,113906109,
2,9,03: APURIMAC,72833680,50221068,54195128,52162191,49668629,
3,9,04: AREQUIPA,84886578,76887180,87739981,81428514,72137269,
4,9,05: AYACUCHO,63117053,44168119,66060946,74392020,74006823,
5,9,06: CAJAMARCA,60203236,79784955,93870047,102677666,100198749,
6,9,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,-208616,18071601,18576977,5430451,5846247,
7,9,08: CUSCO,184567228,140737096,145801914,143188972,136027454,
8,9,09: HUANCAVELICA,30376015,25294711,37057099,35870545,36872652,
9,9,10: HUANUCO,18453983,41928305,31187004,32155882,34599562,
10,9,11: ICA,62113311,33316325,36772399,35539954,35914013,
11,9,12: JUNIN,36483701,19681838,35383973,42432914,38338244,
12,9,13: LA LIBERTAD,76703085,62313806,73432732,88817818,88422766,
13,9,14: LAMBAYEQUE,23223434,19634477,24350133,27805754,33252288,
14,9,15: LIMA,57323370,87567739,123923964,119646394,144850369,
15,9,16: LORETO,26101375,23301290,30730857,25562849,27383180,
16,9,17: MADRE DE DIOS,3848461,5670038,6297841,6045126,4437169,
17,9,18: MOQUEGUA,24806434,14783913,17879740,16938772,16370068,
18,9,19: PASCO,14464668,11329404,9708255,10066499,10242111,
19,9,20: PIURA,51381445,151294985,157391326,127248617,123553352,
20,9,21: PUNO,32843065,54852618,58618286,56329486,57980994,
21,9,22: SAN MARTIN,46577681,66062222,48391694,45615343,44072883,
22,9,23: TACNA,27513791,45030259,44008999,26407526,32648667,
23,9,24: TUMBES,5538438,4951911,8837178,9210171,10381241,
24,9,25: UCAYALI,13990767,17006063,16975758,15099052,14293160,
0,10,01: AMAZONAS,9649626,16773238,24546135,22734430,21499853,
1,10,02: ANCASH,108671592,132762193,111862322,103722254,103151308,
2,10,03: APURIMAC,48910081,93914560,63739436,58935923,53711037,
3,10,04: AREQUIPA,155515564,58656210,70864442,70908347,71936234,
4,10,05: AYACUCHO,67049838,78561959,63963175,57554717,53873433,
5,10,06: CAJAMARCA,61131152,84728374,101225953,95495284,94749661,
6,10,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,8256978,29031512,8865904,7581938,7951059,
7,10,08: CUSCO,154076354,147238484,144463392,135919882,131615943,
8,10,09: HUANCAVELICA,26007994,33807643,36136247,35217021,36042974,
9,10,10: HUANUCO,32998241,28524816,37130561,34917572,33956967,
10,10,11: ICA,39129617,16694763,18416534,20073474,20094462,
11,10,12: JUNIN,41214887,31181520,34465052,36305335,37770712,
12,10,13: LA LIBERTAD,68699901,72568447,88545833,89727567,87178536,
13,10,14: LAMBAYEQUE,34641055,21890170,23780219,31268773,31784939,
14,10,15: LIMA,84299054,79812336,101884082,80580550,88928098,
15,10,16: LORETO,33908871,19134042,23257698,24618400,22431768,
16,10,17: MADRE DE DIOS,11174534,2463040,3028753,3237979,4601727,
17,10,18: MOQUEGUA,30689514,25524831,23405565,20033337,18890217,
18,10,19: PASCO,24459286,21747590,9964742,8184751,8453658,
19,10,20: PIURA,107474415,93782114,116653090,107652115,103293407,
20,10,21: PUNO,42050017,42217086,50515228,49350278,47995298,
21,10,22: SAN MARTIN,27245106,38217476,39344714,39450111,38847599,
22,10,23: TACNA,35625182,43641675,39801783,26723054,25478312,
23,10,24: TUMBES,12317616,8540175,9937763,9912312,9985558,
24,10,25: UCAYALI,19900743,15029075,16307477,19014843,16588676,
0,11,01: AMAZONAS,11946618,25446863,26738022,20478566,20596088,
