,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,01: AMAZONAS,156774686,364760896,325216435,269820165,233514756,208189596,205885013,57.1
1,2021,02: ANCASH,715322578,2375391769,2048041533,1367488667,1276914398,1003390761,980876035,42.2
2,2021,03: APURIMAC,299545572,830632946,711141727,538490013,446258619,415922230,396157536,50.1
3,2021,04: AREQUIPA,509293957,1656772743,1421735040,1042702255,917167352,768158772,744508546,46.4
4,2021,05: AYACUCHO,377747031,1160220980,1021175482,742296801,633239942,571993592,560332994,49.3
5,2021,06: CAJAMARCA,736211619,1790814316,1628479262,1384800686,1116928120,963006230,945738111,53.8
6,2021,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,93469599,146786532,137543367,113163085,96426991,64212433,61727195,43.7
7,2021,08: CUSCO,964155842,2187519621,1836245040,1444595534,1408444474,1260581908,1193046515,57.6
8,2021,09: HUANCAVELICA,232016055,604103237,550999900,435433092,401536676,348678442,343747726,57.7
9,2021,10: HUANUCO,297978771,625611247,572485247,466953734,388105362,342126106,334565032,54.7
10,2021,11: ICA,159834418,597079932,508295141,307340752,289414636,251047860,247691952,42.0
11,2021,12: JUNIN,270296474,761385610,688408523,552375975,504156548,388838602,381578055,51.1
12,2021,13: LA LIBERTAD,537546788,1788364912,1673265771,1376172268,1202379844,972215796,953624899,54.4
13,2021,14: LAMBAYEQUE,169975136,715451787,669954420,492993405,418465281,356987937,350499147,49.9
14,2021,15: LIMA,1171625504,2495781088,2214846231,1818636981,1551104783,1370540743,1349241104,54.9
15,2021,16: LORETO,282974104,469109897,429649275,344654230,302727389,282274810,279129039,60.2
16,2021,17: MADRE DE DIOS,33759437,94586976,80648398,55761593,52387119,45924081,44522758,48.6
17,2021,18: MOQUEGUA,167236979,384803225,343528572,266979493,261235965,185989560,180742884,48.3
18,2021,19: PASCO,85457938,216069470,190625985,155985416,135852768,102910492,100294817,47.6
19,2021,20: PIURA,512824226,2063184111,1916660873,1470902663,1302319479,1063211891,1048771218,51.5
20,2021,21: PUNO,371954243,849099936,792833823,595111380,514280122,479608011,463537900,56.5
21,2021,22: SAN MARTIN,372191656,706993971,671704653,572086908,423889732,414302407,406812097,58.6
22,2021,23: TACNA,130104561,487631482,447692665,363615251,359798383,261514464,250112023,53.6
23,2021,24: TUMBES,63849580,213857964,191844078,129697533,119437293,103734672,103162336,48.5
24,2021,25: UCAYALI,114058333,255876295,223452930,180168283,152307995,138547057,135266035,54.1
