,0,1,2,3,4,5,6,7,10
0,040101-300331: MUNICIPALIDAD PROVINCIAL DE AREQUIPA,4589419,96336189,87388229,79149907,49944734,45949590,45361086,47.7
1,040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,31213404,50476764,47307794,34207453,34093379,13627994,13542931,27.0
2,040103-300333: MUNICIPALIDAD DISTRITAL DE CAYMA,8015006,38488492,37192878,32278595,32248588,23739356,23452500,61.7
3,040104-300334: MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,33498679,137305599,122657032,111754507,86353963,83322872,83046325,60.7
4,040105-300335: MUNICIPALIDAD DISTRITAL DE CHARACATO,2247590,15180721,14213347,5841505,5444198,4876209,4876209,32.1
5,040106-300336: MUNICIPALIDAD DISTRITAL DE CHIGUATA,914037,3672433,3539778,2686470,2521394,2346021,2161287,63.9
6,040107-300337: MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER,3074089,12899036,12515579,9099516,8927685,7321940,7315172,56.8
7,040108-300338: MUNICIPALIDAD DISTRITAL DE LA JOYA,44696334,67478651,64245167,57725146,57504770,46765469,46510813,69.3
8,040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,7635142,27428030,23342342,20868716,15086221,14808291,14775641,54.0
9,040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,4418330,20127134,16038567,9758729,7704296,7356496,7356496,36.6
10,040111-300341: MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,1274230,10714428,8679887,5265774,5134250,4271029,4089394,39.9
11,040112-300342: MUNICIPALIDAD DISTRITAL DE PAUCARPATA,15604117,51889948,48914584,34836194,32259890,27772534,27528484,53.5
12,040113-300343: MUNICIPALIDAD DISTRITAL DE POCSI,234144,3239973,3216554,2518959,2222227,2220477,2181094,68.5
13,040114-300344: MUNICIPALIDAD DISTRITAL DE POLOBAYA,314320,3071732,2548686,2361417,2361417,2300897,2291639,74.9
14,040115-300345: MUNICIPALIDAD DISTRITAL DE QUEQUE¥A,1601215,4049171,3550162,3010676,2894354,2578173,2507401,63.7
15,040116-300346: MUNICIPALIDAD DISTRITAL DE SABANDIA,1945649,5491662,4491662,1961077,1947877,1660040,1659721,30.2
16,040117-300347: MUNICIPALIDAD DISTRITAL DE SACHACA,2797273,12798468,12622547,11641029,11641029,9949334,8880723,77.7
17,040118-300348: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SIGUAS,236332,1934148,1617206,246634,246634,231634,231634,12.0
18,040119-300349: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI,989143,6204229,4612425,2678739,2630433,2174918,2072984,35.1
19,040120-300350: MUNICIPALIDAD DISTRITAL DE SANTA ISABEL DE SIGUAS,363130,6028189,4355861,4323718,4305026,2517144,2444093,41.8
20,040121-300351: MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,2382000,10636297,6730528,5105110,5090701,4946662,4920858,46.5
21,040122-300352: MUNICIPALIDAD DISTRITAL DE SOCABAYA,17439012,45329541,39344789,32002368,30444226,20647232,20464579,45.5
22,040123-300353: MUNICIPALIDAD DISTRITAL DE TIABAYA,10641060,19664231,16716319,14591792,12839574,12057064,11888643,61.3
23,040124-300354: MUNICIPALIDAD DISTRITAL DE UCHUMAYO,9696938,44327106,38298940,27818413,22390002,20230710,19810644,45.6
24,040125-300355: MUNICIPALIDAD DISTRITAL DE VITOR,3777512,12179666,10357281,8276487,8274571,7570577,7549279,62.2
25,040126-300356: MUNICIPALIDAD DISTRITAL DE YANAHUARA,629246,5763306,5752171,4379058,4094424,3025627,2448859,52.5
26,040127-300357: MUNICIPALIDAD DISTRITAL DE YARABAMBA,34741074,129547182,77631342,67289741,67086393,38885011,38639160,30.0
