,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,Default,040101-300331: MUNICIPALIDAD PROVINCIAL DE AREQUIPA,4589419,96336189,89098547,81210308,55165838,51116757,49831496,53.1
1,Default,040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,31213404,50476764,47382222,40066944,39932870,15172848,14360354,30.1
2,Default,040103-300333: MUNICIPALIDAD DISTRITAL DE CAYMA,8015006,38499592,37286253,32520831,32336544,24597444,24262149,63.9
3,Default,040104-300334: MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,33498679,137320499,123319651,111898741,88320646,85492623,85178715,62.3
4,Default,040105-300335: MUNICIPALIDAD DISTRITAL DE CHARACATO,2247590,15180721,14281347,7526197,7128889,5529292,5529292,36.4
5,Default,040106-300336: MUNICIPALIDAD DISTRITAL DE CHIGUATA,914037,3709433,3571326,2699455,2534379,2375671,2236173,64.0
6,Default,040107-300337: MUNICIPALIDAD DISTRITAL DE JACOBO HUNTER,3074089,13108518,12792161,9322722,9226053,7510017,7505574,57.3
7,Default,040108-300338: MUNICIPALIDAD DISTRITAL DE LA JOYA,44696334,70541426,67012130,60747181,60387276,49622494,49465834,70.3
8,Default,040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,7635142,29428030,23365112,20915446,15531497,15184338,15184338,51.6
9,Default,040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,4418330,20127134,19588452,10382698,8853216,8470216,8470216,42.1
10,Default,040111-300341: MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,1274230,10714428,9191885,5573830,5493977,4434269,4270841,41.4
11,Default,040112-300342: MUNICIPALIDAD DISTRITAL DE PAUCARPATA,15604117,53389948,51090369,37247459,34639794,29730306,29449194,55.7
12,Default,040113-300343: MUNICIPALIDAD DISTRITAL DE POCSI,234144,3239973,3216554,2542459,2245727,2243977,2204594,69.3
13,Default,040114-300344: MUNICIPALIDAD DISTRITAL DE POLOBAYA,314320,3071732,2590741,2411654,2411654,2351134,2351134,76.5
14,Default,040115-300345: MUNICIPALIDAD DISTRITAL DE QUEQUE¥A,1601215,4049171,3947060,3111338,3042235,2687042,2653019,66.4
15,Default,040116-300346: MUNICIPALIDAD DISTRITAL DE SABANDIA,1945649,5491662,4520566,1978577,1977377,1669746,1669426,30.4
16,Default,040117-300347: MUNICIPALIDAD DISTRITAL DE SACHACA,2797273,12798468,12636695,12279211,12279211,10224439,10116454,79.9
17,Default,040118-300348: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SIGUAS,236332,2001248,1993442,253886,253134,238134,238134,11.9
18,Default,040119-300349: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI,989143,7535895,6271273,3332767,3256646,2306944,2289788,30.6
19,Default,040120-300350: MUNICIPALIDAD DISTRITAL DE SANTA ISABEL DE SIGUAS,363130,6063888,4583593,4517450,4498758,2540397,2540397,41.9
20,Default,040121-300351: MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,2382000,10636297,6743368,5117951,5107719,4961218,4949854,46.6
21,Default,040122-300352: MUNICIPALIDAD DISTRITAL DE SOCABAYA,17439012,45329541,39487195,32602347,31393991,22367547,22093961,49.3
22,Default,040123-300353: MUNICIPALIDAD DISTRITAL DE TIABAYA,10641060,19664231,17031151,14849243,13557298,12756611,12569868,64.9
23,Default,040124-300354: MUNICIPALIDAD DISTRITAL DE UCHUMAYO,9696938,44828530,41918271,32305362,24898947,22225300,21004583,49.6
24,Default,040125-300355: MUNICIPALIDAD DISTRITAL DE VITOR,3777512,14680705,11024420,8754024,8752107,7996105,7820453,54.5
25,Default,040126-300356: MUNICIPALIDAD DISTRITAL DE YANAHUARA,629246,5783306,5771641,4965533,4822299,3876416,3552196,67.0
26,Default,040127-300357: MUNICIPALIDAD DISTRITAL DE YARABAMBA,34741074,129697182,78205283,69189662,68972203,40519044,40241186,31.2
27,Default,040128-300358: MUNICIPALIDAD DISTRITAL DE YURA,4861069,51891893,51443022,38217390,37513522,34107506,32041151,65.7
28,Default,040129-300359: MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO,3742672,12157187,11565860,5365256,5357739,4433379,4418382,36.5
29,Default,040201-300360: MUNICIPALIDAD PROVINCIAL DE CAMANA,37298803,51636445,48378689,43406868,18017846,17345526,12876713,33.6
30,Default,040202-300361: MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,695728,8399140,8235565,1416198,1412798,1393152,1349042,16.6
31,Default,040203-300362: MUNICIPALIDAD DISTRITAL DE MARIANO NICOLAS VALCARCEL,1557087,6389249,4472600,2642679,2631679,2595138,2577638,40.6
32,Default,040204-300363: MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES,1270537,6917902,6819020,3187246,3183946,3092196,3080196,44.7
33,Default,040205-300364: MUNICIPALIDAD DISTRITAL DE NICOLAS DE PIEROLA,4019779,13942130,13796328,13019715,8765376,8733496,8733496,62.6
34,Default,040206-300365: MUNICIPALIDAD DISTRITAL DE OCOÑA,6326483,14430564,12537155,1824878,1823878,1647718,1643574,11.4
35,Default,040207-300366: MUNICIPALIDAD DISTRITAL DE QUILCA,172000,4629394,4553263,4213827,4213827,4112743,4103940,88.8
36,Default,040208-300367: MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,3761872,10580844,10221758,8758555,8709942,5051378,5016974,47.7
37,Default,040301-300368: MUNICIPALIDAD PROVINCIAL DE CARAVELI,487059,5724681,2556277,2158975,2158975,2116785,2090039,37.0
38,Default,040302-300369: MUNICIPALIDAD DISTRITAL DE ACARI,1351565,5018921,4459561,3266842,3265838,3265491,3258055,65.1
39,Default,040303-300370: MUNICIPALIDAD DISTRITAL DE ATICO,840550,6334240,5011910,4757599,4756059,4101650,4084604,64.8
40,Default,040304-300371: MUNICIPALIDAD DISTRITAL DE ATIQUIPA,224841,1337585,1023823,460611,460611,460611,460611,34.4
41,Default,040305-300372: MUNICIPALIDAD DISTRITAL DE BELLA UNION,329588,6910939,6707735,4887240,4853286,4843148,4838478,70.1
42,Default,040306-300373: MUNICIPALIDAD DISTRITAL DE CAHUACHO,223234,1802907,1390779,216729,216729,216729,214873,12.0
43,Default,040307-300374: MUNICIPALIDAD DISTRITAL DE CHALA,1645798,2970084,2024514,1981238,1981238,1698046,1671098,57.2
44,Default,040308-300375: MUNICIPALIDAD DISTRITAL DE CHAPARRA,1007520,11046677,10711518,7397043,5120765,4844470,4565620,43.9
45,Default,040309-300376: MUNICIPALIDAD DISTRITAL DE HUANUHUANU,814452,4519431,4463053,1010928,1010928,1001179,961888,22.2
46,Default,040310-300377: MUNICIPALIDAD DISTRITAL DE JAQUI,325438,1290751,830932,422335,422335,422335,422335,32.7
47,Default,040311-300378: MUNICIPALIDAD DISTRITAL DE LOMAS,340778,2537428,2262853,949289,949289,949289,934004,37.4
48,Default,040312-300379: MUNICIPALIDAD DISTRITAL DE QUICACHA,547158,6523376,6139158,3329089,3304616,3304616,3295937,50.7
49,Default,040313-300380: MUNICIPALIDAD DISTRITAL DE YAUCA,417986,4627241,4286850,1724999,1724999,1565765,1564944,33.8
50,Default,040401-300381: MUNICIPALIDAD PROVINCIAL DE CASTILLA - APLAO,69669428,79242884,73008897,3288371,3286262,2925184,2379722,3.7
51,Default,040402-300382: MUNICIPALIDAD DISTRITAL DE ANDAGUA,301783,8092963,6692987,2052551,2052551,1893363,1878738,23.4
52,Default,040403-300383: MUNICIPALIDAD DISTRITAL DE AYO,49007,3791132,3511483,3511482,3511482,1546697,1534843,40.8
53,Default,040404-300384: MUNICIPALIDAD DISTRITAL DE CHACHAS,412923,5958003,5775714,5480571,5310246,5217353,5212573,87.6
54,Default,040405-300385: MUNICIPALIDAD DISTRITAL DE CHILCAYMARCA,667005,2076741,1792455,1657896,1657896,1523922,1523878,73.4
55,Default,040406-300386: MUNICIPALIDAD DISTRITAL DE CHOCO,300385,3785463,3553262,3208718,3163148,3151927,3151927,83.3
56,Default,040407-300387: MUNICIPALIDAD DISTRITAL DE HUANCARQUI,364170,1125462,1068840,916125,897979,897979,897979,79.8
57,Default,040408-300388: MUNICIPALIDAD DISTRITAL DE MACHAGUAY,85341,3016729,598664,379878,337243,195333,194063,6.5
58,Default,040409-300389: MUNICIPALIDAD DISTRITAL DE ORCOPAMPA,1045031,10901675,9456234,3965876,3820873,3394841,3387380,31.1
59,Default,040410-300390: MUNICIPALIDAD DISTRITAL DE PAMPACOLCA,280384,3938734,3860252,1724172,1724172,1084238,1084238,27.5
60,Default,040411-300391: MUNICIPALIDAD DISTRITAL DE TIPAN,63068,3077593,2937651,753282,753282,737648,737648,24.0
61,Default,040412-300392: MUNICIPALIDAD DISTRITAL DE UÑON,4126949,6802800,5991542,4617240,2962364,2934964,2911664,43.1
