,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,01: AMAZONAS,543264410,300761114,31743291,25143202,18337911,
1,1,02: ANCASH,1209239741,945097568,73764415,86827740,54273238,
2,1,03: APURIMAC,464206114,284172401,58036313,54849240,38851466,
3,1,04: AREQUIPA,1461051028,1306870338,134474404,98910839,91016336,
4,1,05: AYACUCHO,659562053,388069885,48713808,41207191,31204029,
5,1,06: CAJAMARCA,969988754,609546069,59464577,51473806,41951111,
6,1,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,2014108514,1667423241,178325522,159721688,153355002,
7,1,08: CUSCO,1428943220,834678751,106364883,90889082,66178268,
8,1,09: HUANCAVELICA,376708857,242319571,23439695,20167707,14346163,
9,1,10: HUANUCO,859706699,685089170,52173938,52376907,34876376,
10,1,11: ICA,779571696,644804878,67377793,53346097,50473541,
11,1,12: JUNIN,1182624757,873028197,95917651,84696766,64271942,
12,1,13: LA LIBERTAD,1344383131,1039093741,101439247,88510723,75501638,
13,1,14: LAMBAYEQUE,940754675,835307053,83356979,67889820,61303527,
14,1,15: LIMA,51870337602,45863563485,8693609328,5711272683,4442829322,
15,1,16: LORETO,994136331,821466190,61095931,56695084,40680135,
16,1,17: MADRE DE DIOS,383359813,155698880,28440952,26424374,13521708,
17,1,18: MOQUEGUA,374967758,302802505,29575454,24681789,19661388,
18,1,19: PASCO,404315834,328420039,22807613,21835006,18509289,
19,1,20: PIURA,1708530287,1324890623,148806440,143181824,82506205,
20,1,21: PUNO,1486661823,859698427,92911702,79354410,50604850,
21,1,22: SAN MARTIN,565239909,462254139,66070650,52508218,28502079,
22,1,23: TACNA,431559870,366714810,39322651,33406426,26192344,
23,1,24: TUMBES,277017565,213606308,33658953,19674067,16439843,
24,1,25: UCAYALI,437376875,363352200,81526023,30032489,27000199,
25,1,98: EXTERIOR,588779345,571140448,148549660,89242727,87295026,
0,2,01: AMAZONAS,141285328,146521948,143665173,58483947,58782909,
1,2,02: ANCASH,591344174,635110546,525424294,334867830,330043016,
2,2,03: APURIMAC,197422572,281947972,181499811,138676396,140452355,
3,2,04: AREQUIPA,225658428,217391657,227604540,180556953,177975618,
4,2,05: AYACUCHO,129288695,220957702,174192241,111323919,110898840,
5,2,06: CAJAMARCA,229147892,430886084,391883753,221014316,215236075,
6,2,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,445630723,419700957,430411955,261122204,257947858,
7,2,08: CUSCO,455826279,297536584,276254993,179473468,174665631,
8,2,09: HUANCAVELICA,167495932,232770256,164858082,108082341,107243719,
9,2,10: HUANUCO,318933660,308170999,267829625,178541444,175651383,
10,2,11: ICA,185408822,178199170,177596887,139144279,134685228,
11,2,12: JUNIN,359605887,510255170,335144649,265944576,265112363,
12,2,13: LA LIBERTAD,253553812,292003408,315394390,195822942,185897897,
13,2,14: LAMBAYEQUE,171033967,207095607,224579305,173211811,156288357,
14,2,15: LIMA,6248460099,5940392986,9247820546,9724541431,10293626452,
15,2,16: LORETO,253041666,208520609,333946894,152495844,152882266,
16,2,17: MADRE DE DIOS,37060986,36094639,53007330,26141609,36677565,
17,2,18: MOQUEGUA,30133675,29895354,53537764,43072057,38821607,
18,2,19: PASCO,75838480,89543018,93919498,60085282,58071132,
19,2,20: PIURA,351293283,463827760,470528487,206805992,237358199,
20,2,21: PUNO,128978463,291007141,261887336,156723043,165616622,
21,2,22: SAN MARTIN,106432993,141703403,171183616,85803862,103523204,
22,2,23: TACNA,35732251,48307776,60377165,48939179,49930986,
23,2,24: TUMBES,61876111,60047720,63895703,38156116,38636054,
24,2,25: UCAYALI,54094935,82193848,108582969,52712563,49363173,
25,2,98: EXTERIOR,30290482,23087816,51226175,71916235,70754425,
0,3,01: AMAZONAS,81796762,66390474,63812073,70684532,62048635,
1,3,02: ANCASH,125202039,91415031,199707782,192537402,213900359,
2,3,03: APURIMAC,70855999,50299915,87508572,85519710,78682228,
3,3,04: AREQUIPA,251547521,248430605,189690836,201634731,198133498,
4,3,05: AYACUCHO,147325881,108018083,84842934,88037269,87344552,
5,3,06: CAJAMARCA,137181628,119876306,118648735,122344201,114643994,
6,3,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,210097573,154500645,334872457,362698778,335701342,
7,3,08: CUSCO,475593552,558588768,441805715,341378295,264070978,
8,3,09: HUANCAVELICA,35052118,27671945,70831338,77185834,74028829,
9,3,10: HUANUCO,57569399,49321194,136638581,139221107,131066136,
10,3,11: ICA,97490627,26066543,117418775,118671728,113689945,
11,3,12: JUNIN,39699443,55223787,204218431,200891995,215413446,
12,3,13: LA LIBERTAD,120578285,196128394,122586779,125876228,116547930,
13,3,14: LAMBAYEQUE,214864235,77483033,126550660,103596905,118808700,
14,3,15: LIMA,5083722042,4955698655,6926890647,6372694140,6451357742,
15,3,16: LORETO,185858335,159037821,161590830,151496078,137263694,
16,3,17: MADRE DE DIOS,1491659,14077417,25082251,22932664,21744247,
17,3,18: MOQUEGUA,23238295,26434055,32951160,32797474,39158454,
18,3,19: PASCO,21149559,14261926,51367393,52183929,51717337,
19,3,20: PIURA,431594299,370768454,356883645,205776722,198523519,
20,3,21: PUNO,191150074,159757763,139863050,146588913,123333773,
21,3,22: SAN MARTIN,102538566,98805525,75685008,80850934,58540157,
