,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,01: AMAZONAS,171158813,13974459,9401454,5083912,428128,
1,1,02: ANCASH,229432283,177197961,4495440,28291375,288425,
2,1,03: APURIMAC,108165107,34858206,17114367,15691779,1447120,
3,1,04: AREQUIPA,68857772,37461027,28208743,3230715,1673897,
4,1,05: AYACUCHO,98488392,18776397,8027333,4542059,703681,
5,1,06: CAJAMARCA,140838127,66585179,16513305,13438411,7401567,
6,1,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,172391085,9076693,5703870,1199807,483385,
7,1,08: CUSCO,387906652,32806818,16260780,8667715,2140566,
8,1,09: HUANCAVELICA,28586939,4588079,4426133,2099938,391218,
9,1,10: HUANUCO,250685277,191978799,9205762,12498767,449820,
10,1,11: ICA,72562388,18546425,10635464,1623942,701540,
11,1,12: JUNIN,110137570,26713236,19414436,15421132,1333083,
12,1,13: LA LIBERTAD,203497548,37294935,15091053,14307267,6840371,
13,1,14: LAMBAYEQUE,25557645,6467855,4295114,1343886,429371,
14,1,15: LIMA,1934773555,1085202359,706530983,387878758,108108487,
15,1,16: LORETO,224894891,209021577,13323706,11919219,558861,
16,1,17: MADRE DE DIOS,219671865,10914117,3702687,3566288,3299944,
17,1,18: MOQUEGUA,133200782,98461564,9235348,8020782,5063991,
18,1,19: PASCO,56454393,39345583,1925155,1951255,538773,
19,1,20: PIURA,490304300,303671769,59125102,67129170,11614053,
20,1,21: PUNO,572053851,172196035,24104007,14683825,4127485,
21,1,22: SAN MARTIN,74767191,35516278,14384079,5695649,1274098,
22,1,23: TACNA,36236913,3017406,1436362,1111336,77184,
23,1,24: TUMBES,24065606,14245560,10891372,1835253,1223327,
24,1,25: UCAYALI,73659896,57684386,47257525,1120545,899050,
0,2,01: AMAZONAS,74949819,62946240,14332986,7068732,7897913,
1,2,02: ANCASH,295618869,233996958,221449671,95538889,109052933,
2,2,03: APURIMAC,32692721,75873400,27254693,25561959,30319633,
3,2,04: AREQUIPA,81280044,40910371,18313984,11937932,10226937,
4,2,05: AYACUCHO,16204986,20692374,5431603,5096641,5315593,
5,2,06: CAJAMARCA,56101663,47980257,35265020,19895817,17529335,
6,2,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,63552335,126661907,120752011,3624425,3586012,
7,2,08: CUSCO,172373925,93990068,35788682,20111891,10701476,
8,2,09: HUANCAVELICA,42585411,39720376,16947224,6901124,6059709,
9,2,10: HUANUCO,82472767,14126039,9399062,9022248,6760015,
10,2,11: ICA,31836200,11844667,10158948,6091053,4439937,
11,2,12: JUNIN,17965677,32559860,20095024,16368071,15618870,
12,2,13: LA LIBERTAD,108183833,78648000,34934590,28753961,21111933,
13,2,14: LAMBAYEQUE,123201151,109651525,72332879,63588766,46612464,
14,2,15: LIMA,1113898859,795359654,574923320,470798689,566741711,
15,2,16: LORETO,139171800,27647701,71751388,43736015,43547831,
16,2,17: MADRE DE DIOS,22043281,15085574,12874458,5258345,4383029,
17,2,18: MOQUEGUA,14508294,7620898,20289316,18550344,14435146,
18,2,19: PASCO,5576271,6873699,7371996,4889094,3929878,
19,2,20: PIURA,180883524,206575648,160055665,47222217,83664481,
20,2,21: PUNO,19772527,60350784,59576651,28030279,26677374,
21,2,22: SAN MARTIN,19702398,29060244,21634997,7121084,8223601,
22,2,23: TACNA,8103542,11426467,4993897,2186202,1936607,
23,2,24: TUMBES,47292904,33532351,21755527,10000524,9273536,
24,2,25: UCAYALI,9069547,17207478,10610865,4385146,2466028,
0,3,01: AMAZONAS,37911226,9756710,13557896,10542107,9440765,
1,3,02: ANCASH,86999486,44007235,28414300,25048325,34453199,
2,3,03: APURIMAC,33496649,31969413,25241889,20363154,17727601,
3,3,04: AREQUIPA,12257678,23876030,14462956,14757923,12234514,
4,3,05: AYACUCHO,46309768,10015326,6543733,6056251,7867962,
5,3,06: CAJAMARCA,64023085,29138643,27077842,25581935,29093459,
6,3,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,123091217,76087716,72258020,134689480,117276643,
7,3,08: CUSCO,347245467,266365600,250649057,145512159,92564935,
8,3,09: HUANCAVELICA,18545592,2491785,10754554,15341608,15560392,
9,3,10: HUANUCO,45415843,16606700,18419577,12331735,13183214,
10,3,11: ICA,76733602,7208730,6560507,7181362,9303060,
11,3,12: JUNIN,12953276,11133886,3861170,3781493,17906977,
12,3,13: LA LIBERTAD,95491982,141047986,32813457,32603132,27066129,
13,3,14: LAMBAYEQUE,181317874,62966709,53353661,24511872,40377175,
14,3,15: LIMA,988525611,898610504,573669969,670605604,688312300,
15,3,16: LORETO,60934738,12611422,27833934,27580534,19358477,
16,3,17: MADRE DE DIOS,-5324223,6463652,10069914,6876622,7230938,
17,3,18: MOQUEGUA,6225208,11017348,8179089,7990303,14491715,
18,3,19: PASCO,15052507,5008309,4468256,4056962,4665825,
19,3,20: PIURA,400889536,340942598,255077984,98970807,96318097,
20,3,21: PUNO,130644044,49573770,45120160,50279285,30962409,
21,3,22: SAN MARTIN,86595497,73663891,27808052,27973065,12733978,
22,3,23: TACNA,17040995,4690847,2556871,2535277,3159248,
23,3,24: TUMBES,157890407,149348029,89196330,77095899,7143904,
24,3,25: UCAYALI,6399822,3465324,6134325,9258518,9858413,
0,4,01: AMAZONAS,25884184,155875050,100489392,101708657,87841023,
1,4,02: ANCASH,58831611,40702231,30047795,36679264,32675396,
2,4,03: APURIMAC,15610514,9046427,17629856,16350268,22787440,
3,4,04: AREQUIPA,8060059,9779578,11177244,10198007,12637480,
4,4,05: AYACUCHO,16892694,60719271,43110489,39867303,37029096,
5,4,06: CAJAMARCA,71063500,24350188,32622626,33297848,19721786,
6,4,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,66314187,2786868,7843794,7171202,23183876,
7,4,08: CUSCO,32757876,211478251,141560694,127799118,157601059,
8,4,09: HUANCAVELICA,42697576,19527655,13319316,16456126,15024251,
9,4,10: HUANUCO,44177992,45699860,37039425,35814570,24309419,
10,4,11: ICA,46313569,14611705,11186395,12478444,5323081,
11,4,12: JUNIN,29765147,18141507,24063830,24778417,3535631,
12,4,13: LA LIBERTAD,109661624,99199911,93809535,86235261,88538829,
13,4,14: LAMBAYEQUE,54315993,55577471,52238434,57723352,50308331,
14,4,15: LIMA,352868073,250788851,268900979,289405557,333245310,
15,4,16: LORETO,18610050,47005238,60723005,44466891,42026726,
16,4,17: MADRE DE DIOS,20242156,209453483,120552086,121477591,121783864,
17,4,18: MOQUEGUA,12493535,35981956,31522581,31619005,16871491,
18,4,19: PASCO,8078339,14139699,10491672,9219318,9616246,
19,4,20: PIURA,44844518,53508516,69699904,93902213,91452594,
20,4,21: PUNO,18207886,273507627,170430261,174750508,180288086,
21,4,22: SAN MARTIN,65962126,3788484,9229650,9998525,26766534,
22,4,23: TACNA,-13004893,9710609,10576976,11339447,3039947,
