,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,01: AMAZONAS,398529972,468383177,422512793,377221115,336202274,321656068,317337406,68.7
1,2021,02: ANCASH,807948815,1568333182,1370402482,1289522053,1236180364,1027047778,1005885136,65.5
2,2021,03: APURIMAC,459638622,351492241,299876705,261205922,240708235,233410626,224049353,66.4
3,2021,04: AREQUIPA,359023817,359680507,247343664,214386547,209101395,167044607,161595907,46.4
4,2021,05: AYACUCHO,228732129,259883824,223209585,201533752,190126631,177299665,171318414,68.2
5,2021,06: CAJAMARCA,504781441,515338526,432449301,369907662,348076540,329182144,320592454,63.9
6,2021,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,287548507,484745511,413960094,313963507,311610018,275208125,270843073,56.8
7,2021,08: CUSCO,1705947681,1629782308,1164820530,1114381895,1094318712,1066541458,951013117,65.4
8,2021,09: HUANCAVELICA,236400298,248290963,195323279,180140047,173100280,155124681,145371087,62.5
9,2021,10: HUANUCO,467269805,508300654,451277719,423945282,378151851,364546429,326918581,71.7
10,2021,11: ICA,297766582,382295490,296550086,258920292,246198872,187298506,170572689,49.0
11,2021,12: JUNIN,261147625,380068426,328770452,312785762,280835394,266650792,253270720,70.2
12,2021,13: LA LIBERTAD,808097713,988970417,798507861,715396241,687709710,614926195,596454437,62.2
13,2021,14: LAMBAYEQUE,113622371,799867837,641472173,575837172,573559216,509797958,467391526,63.7
14,2021,15: LIMA,12630527983,7233547530,5841631627,5152372936,4973162007,4657015487,4504154171,64.4
15,2021,16: LORETO,420744315,590416025,525499328,491473179,453723430,411548150,407905169,69.7
16,2021,17: MADRE DE DIOS,256658406,309236854,294383305,291154884,289569276,287121023,286204137,92.8
17,2021,18: MOQUEGUA,221822142,218123152,173336516,164025939,151405355,147239972,145781726,67.5
18,2021,19: PASCO,89632425,189197270,167427121,157576679,139802448,135913763,130255590,71.8
19,2021,20: PIURA,612668320,1453491829,1184609847,1122189158,1074124782,939820830,895061414,64.7
20,2021,21: PUNO,1002748607,1310699481,1100758104,983442282,944908752,917613349,887549568,70.0
21,2021,22: SAN MARTIN,199835048,317775242,286805073,213498411,209007226,197687415,186364297,62.2
22,2021,23: TACNA,137373052,107152666,88500219,84040512,77131044,71813606,71385248,67.0
23,2021,24: TUMBES,73587982,328440490,264368664,248056447,237999679,209039599,203498942,63.6
24,2021,25: UCAYALI,129196095,121635136,112092368,99032784,97234364,81406249,79721419,66.9
25,2021,98: EXTERIOR,0,418720,418720,418135,418135,418135,296373,99.9
