,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,946800769,1176969255,1117076385,1050642660,953722212,929576778,873259591,79.0
1,2021,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,1685380926,2266895065,1998790355,1820594761,1776788770,1713909401,1671361026,75.6
2,2021,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,998990146,1290688630,1158935383,1042320656,1032909395,1004260202,969671269,77.8
3,2021,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,2034258592,2757576924,2242592710,2107613164,2077722016,2024225553,1965229642,73.4
4,2021,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,1485769532,1915525597,1733864593,1648806806,1494522568,1447797604,1419991359,75.6
5,2021,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,2263606339,2972324603,2806658165,2617723478,2244413122,2184275387,2148872299,73.5
6,2021,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,2199269788,2656751749,2383883182,2262294175,2216282894,2161304346,2090306028,81.4
7,2021,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,1022257563,1293617174,1204265209,1120399987,1009307303,994316780,974537846,76.9
8,2021,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,1232760486,1587522935,1462933725,1379411341,1296223070,1249383262,1231010412,78.7
9,2021,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,1195714717,1376896403,1255587106,1215218640,1119719393,1081200690,1062588404,78.5
10,2021,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,1882405098,2466421235,2314334391,2137444453,1920524773,1882304726,1830484698,76.3
11,2021,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,2178389127,2522908601,2366525521,2296080296,2001675038,1974587944,1948293710,78.3
12,2021,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,1293291259,1591881453,1520009573,1458123275,1344436422,1301243409,1281368322,81.7
13,2021,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,2087836283,2565580198,2452622120,2341361110,2197246964,2138519463,2041087587,83.4
14,2021,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,370916816,463357632,434921077,418550939,384633413,366431357,348236587,79.1
15,2021,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,513187930,660886307,608737734,586689373,556831811,535210969,522560812,81.0
16,2021,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,659561037,840087283,756682703,619689046,599100294,585601397,563784509,69.7
17,2021,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,2220229083,3060112119,2754756515,2617843648,2410287144,2313759549,2263054265,75.6
18,2021,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,1978069016,2378719455,2208132245,1974504574,1797872804,1753136952,1709272715,73.7
19,2021,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,1315533049,1661935007,1627632509,1587877264,1414221051,1378436879,1363356449,82.9
20,2021,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,677457690,854446046,796548131,725915885,688710149,676522479,662986270,79.2
21,2021,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,464020359,620900183,589505298,533762813,497367260,449354027,444523432,72.4
22,2021,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,910461067,1179042472,1123322109,1047019777,998839589,975126085,921184160,82.7
23,2021,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,1243425859,1565375672,1393503579,1359554388,1328493421,1294938476,1265306902,82.7
24,2021,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,1055782430,1358097378,1232259407,1156306353,1078712225,1037248046,1020995011,76.4
25,2021,465: MUNICIPALIDAD METROPOLITANA DE LIMA,44744246,145285872,127113922,115992761,114639503,81545133,74322661,56.1
