,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,55131514,16844582,16718254,16606188,1279606,
1,1,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,83421843,46772670,15034433,9558669,1114677,
2,1,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,17253353,12439838,3131427,2451016,8720,
3,1,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,112477102,11256411,9884593,10588895,4719379,
4,1,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,100542460,94345976,5747319,5033712,3032005,
5,1,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,131764313,61438370,3869448,3581511,2427366,
6,1,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,274173002,30763984,12962243,12544421,2107926,
7,1,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,18489295,5125133,1856733,1824827,1041570,
8,1,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,65585130,18067708,1976280,0,0,
9,1,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,30470103,10318907,6620121,6552409,556815,
10,1,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,78857268,78519048,847477,491365,0,
11,1,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,69204206,41542699,10901342,5779055,4822434,
12,1,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,157605413,14566049,3362281,3154950,1528978,
13,1,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,171296203,87094946,20479109,12926058,10166525,
14,1,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,5253364,4816957,2256717,2259516,231431,
15,1,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,37603855,20012272,6952221,2654269,989479,
16,1,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,46365927,3906718,3906718,3790653,0,
17,1,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,238510481,146818552,16465033,13573024,1897677,
18,1,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,12908517,10535734,10471728,10046238,713872,
19,1,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,81702813,49947561,18028758,14752390,7369500,
20,1,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,141587979,55649726,10563188,10342746,6246974,
21,1,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,611685,224874,56080,46194,16184,
22,1,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,62797466,16344559,16059984,15225796,2455594,
23,1,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,51431134,5548880,5288830,4989863,0,
24,1,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,33404636,7560318,1200642,1200642,499730,
25,1,465: MUNICIPALIDAD METROPOLITANA DE LIMA,4717770,2008528,2008528,1453861,648812,
0,2,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,28345398,15211775,9581453,11611044,4181288,
1,2,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,29554441,33189900,16948174,4654984,4971540,
2,2,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,38608515,14928473,14551854,9099252,6095593,
3,2,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,100347839,41027706,40536739,34514556,25584270,
4,2,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,69742796,30084252,20215242,14733592,13362481,
5,2,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,59300270,43957783,6015734,14938085,2256057,
6,2,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,90233091,77849619,67413930,53859041,14889101,
7,2,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,22143567,13633412,7456214,7446285,3381275,
8,2,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,87775280,76446890,14594920,8670474,5648333,
