,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,1,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,125897083,83954823,12924376,13700696,4222268,
1,1,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,176805350,30850166,12630326,7813522,7413760,
2,1,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,67415251,38141584,13662650,18094528,7278914,
3,1,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,114949429,78575405,16712578,16327662,8336491,
4,1,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,150176651,97500946,6222453,6059815,5815646,
5,1,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,129622272,90618773,9144146,3215308,2196270,
6,1,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,77686196,22707936,11039248,9367766,2597892,
7,1,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,76800373,37752288,8025058,10739323,2437274,
8,1,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,89766663,14456988,5273089,5006290,285247,
9,1,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,164264568,140710887,26686092,1502721,732139,
10,1,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,165601075,132651967,8689281,25246496,0,
11,1,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,40548868,32381715,10362187,3049463,2695346,
12,1,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,160939215,1294469,4060196,3654008,2500092,
13,1,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,265063673,146548207,13547203,11701713,1648305,
14,1,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,34827676,25298809,4785652,4193386,2357608,
15,1,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,73909179,12363576,3420137,5523337,907130,
16,1,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,64909388,32308090,1094270,1340321,0,
17,1,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,167601482,118505766,13419767,11003408,3923942,
18,1,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,146913139,60899799,6627411,5465612,988307,
19,1,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,88154772,36468632,8601641,7706552,7588327,
20,1,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,168400999,93059077,12150915,11874231,10459295,
21,1,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,24378785,1396455,1376046,1281946,985488,
22,1,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,176826294,134177347,24494821,26672363,14551151,
23,1,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,82842993,49587785,18729271,9184763,7660036,
24,1,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,33480652,921104,654630,559190,559190,
0,2,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,49885805,11471645,12718709,11122181,16197225,
1,2,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,84964163,-34917660,33713243,23726978,8926094,
2,2,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,33661629,12793793,20747147,9844552,12675126,
3,2,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,67484224,18986907,20215601,15260720,20689719,
4,2,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,32345422,-5657442,10706749,6565585,4590657,
5,2,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,47068914,38160520,13804530,11827680,9558075,
6,2,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,141679510,33304971,32553372,21100010,14036848,
7,2,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,34749656,29989879,11001828,9896050,10862421,
8,2,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,40384630,84408576,15292654,14786645,9298597,
