,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2021,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,245784850,310947051,298968092,297173952,294667828,283074989,282127621,91.0
1,2021,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,213250069,449683288,392923041,202586988,201210879,198681093,198624592,44.2
2,2021,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,196321801,247107743,233720555,223709851,222438204,215888767,215292104,87.4
3,2021,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,665960858,700300609,566617297,543601453,419226881,410235673,410205848,58.6
4,2021,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,368168466,461914079,442700827,434116007,413442425,292838843,287909687,63.4
5,2021,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,249185813,425556920,347049028,273308872,181534999,128316815,128133980,30.2
6,2021,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,564505030,495721319,484459427,368889842,362486417,359900339,359530198,72.6
7,2021,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,219870348,244137689,233166686,227843071,154774540,154421577,154385472,63.3
8,2021,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,198691698,294876038,289150581,284499102,256397768,234203796,234201869,79.4
9,2021,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,215347223,338618758,316102591,112018632,94075039,92335729,92319194,27.3
10,2021,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,310878932,314731447,309685604,302100236,276233412,236909365,236907177,75.3
11,2021,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,350359752,291642717,242748391,217983476,174979072,165972557,165972557,56.9
12,2021,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,241748008,308114692,298901745,275984832,263414544,255421029,255413994,82.9
13,2021,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,431504076,602666530,583276979,507919991,366626074,366601474,366503133,60.8
14,2021,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,114573408,132441323,123565462,121644652,119850538,114446608,111174502,86.4
15,2021,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,161591919,164814855,163643726,158465437,152130168,148992920,148894930,90.4
16,2021,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,155915970,181652819,175440697,158224961,152314689,150227225,148960209,82.7
17,2021,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,490826060,1216326457,1106828849,1009669300,807258919,631692330,631455727,51.9
18,2021,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,283564478,314140003,297763577,291619926,282698534,281257421,281164994,89.5
19,2021,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,227665777,287958905,268436967,265515082,258071238,257372212,257366723,89.4
20,2021,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,193713789,263983483,252502664,243185442,236375268,235900404,235821643,89.4
21,2021,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,85866655,169340373,159353330,117689894,79076930,63099841,62944561,37.3
22,2021,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,255265521,353175759,346648855,329311314,316411527,287643932,240832776,81.4
23,2021,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,150053570,220759930,209889629,181227703,176590339,168326924,168252278,76.2
24,2021,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,110651470,122415999,87960994,70593247,56458459,56363386,56363386,46.0
25,2021,465: MUNICIPALIDAD METROPOLITANA DE LIMA,23738209,119285933,104411786,90542853,89907570,83250444,83149462,69.8
