,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,131348034,231961654,231334983,215936824,215808926,211589527,180134938,91.2
1,2,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,191045972,258946944,241493386,220219797,205564149,183061386,163344939,70.7
2,2,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,168996300,238199438,205591555,192199450,191412230,185774467,162613864,78.0
3,2,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,502623548,528628065,518275201,515549516,478539441,401114109,361747733,75.9
4,2,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,222412991,448512277,439488670,403143605,338297136,308747899,284127658,68.8
5,2,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,287773312,510617409,509222532,481818017,453320334,211047267,196081971,41.3
6,2,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,436511305,468755802,457759503,440921300,435625575,427723283,398297939,91.2
7,2,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,87524778,284564784,283701284,269835125,200486505,190248563,138204568,66.9
8,2,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,171430294,287087997,279499155,274480449,265986155,218996300,204888448,76.3
9,2,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,223244393,178400338,141645001,130706895,114842398,113670604,107109292,63.7
10,2,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,279446190,412709294,342543250,338072168,335140333,231143186,195313657,56.0
11,2,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,322961404,180654248,177737391,167497617,124377972,124338155,120295635,68.8
12,2,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,83270332,107824785,107178694,106539244,106140049,95712977,91434302,88.8
13,2,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,128780489,521942924,521725284,506682095,491232992,457614551,373894935,87.7
14,2,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,83538329,97669132,92400684,90836088,90154741,87511262,77925760,89.6
15,2,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,95506627,117039461,110789460,108967769,108727369,105248134,98284668,89.9
16,2,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,142915570,271480290,262718003,255245412,254726542,152582490,141733068,56.2
17,2,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,334612039,716412068,693824920,639686574,528900628,399694612,396816902,55.8
18,2,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,153313075,283813173,272809678,199898912,198778746,119209506,105281852,42.0
19,2,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,95278609,123137040,122087016,119424522,118972708,115923828,114825230,94.1
20,2,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,165260924,188409741,168256685,161543324,160960609,152242832,145469686,80.8
21,2,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,50027259,115852600,108920501,97636886,94720810,57962840,54277166,50.0
22,2,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,164953187,269890926,260148068,249143245,235366833,219123016,176592974,81.2
23,2,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,115324118,151512510,145845399,136995298,135055422,133628852,118735614,88.2
24,2,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,55523959,100821466,100370443,82815254,70439670,59386458,45414427,58.9
25,2,465: MUNICIPALIDAD METROPOLITANA DE LIMA,24649522,103018996,95019137,91006376,91006376,71610135,68414369,69.5
0,3,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,5157612,37866530,37795513,37793361,37793361,37793361,24754713,99.8
1,3,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,0,12518560,12031096,7464066,7464066,7445657,3753781,59.5
2,3,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,5327868,30399821,25498796,24122098,24122098,19629684,12767731,64.6
3,3,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,20254509,52524808,45001423,38079253,37827241,35117602,31386243,66.9
4,3,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,20353762,35513000,34435675,34337539,34337539,33692515,24673575,94.9
5,3,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,0,14406923,13866097,9710481,9710481,9707364,9389913,67.4
6,3,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,957158,58944414,54424017,49183156,49163183,40661055,28133444,69.0
7,3,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,21118779,20200149,18205391,17258215,16961893,16342209,14244956,80.9
8,3,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,24832996,45431870,43675167,11211479,11206926,10478191,9032893,23.1
9,3,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,18551123,57159764,53994293,50749759,50467049,40539547,21222027,70.9
10,3,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,5131305,72322730,70850353,59368631,59368631,50847168,31032856,70.3
11,3,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,2870054,48174631,46725772,38076388,33463616,32498633,31677525,67.5
