,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,2-1,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,53489835,16296623,16174911,16296623,991227,
1,2-1,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,83421843,46772670,14918011,9558669,1114677,
2,2-1,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,13562221,9178780,2340282,1785598,0,
3,2-1,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,98020865,6977138,5941578,6943138,1730810,
4,2-1,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,91531097,89313956,5619497,4936132,2934425,
5,2-1,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,119455087,55699949,3081726,3131980,2227444,
6,2-1,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,223041486,14240522,5209758,4888868,206842,
7,2-1,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,17331150,4853486,1648716,1629256,898020,
8,2-1,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,61523435,16449708,358280,0,0,
9,2-1,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,18717343,4917653,4911653,4904153,0,
10,2-1,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,75105089,74892069,575412,420501,0,
11,2-1,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,43585071,20474974,4711793,3034964,2197620,
12,2-1,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,2741261,2601261,1362884,1362359,0,
13,2-1,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,132754330,79422121,19358245,12151131,9732653,
14,2-1,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,3737238,3394401,1096745,1173884,0,
15,2-1,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,25982810,11181512,5423577,1231168,483246,
16,2-1,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,41411263,3790653,3790653,3790653,0,
17,2-1,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,200448986,128196259,8420613,8420613,460514,
18,2-1,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,11377929,10252089,10197039,9932586,713872,
19,2-1,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,42041075,22035785,2843924,2582406,0,
20,2-1,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,125173570,48176164,8102515,7951503,5599021,
21,2-1,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,50565432,14721322,14721322,14463551,1959466,
22,2-1,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,44128489,5445782,5185732,4902765,0,
23,2-1,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,31146431,7201098,1168572,1168572,499730,
24,2-1,465: MUNICIPALIDAD METROPOLITANA DE LIMA,1453861,1453861,1453861,1453861,648812,
0,2-2,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,16811310,7912092,4047006,5847829,1309681,
1,2-2,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,28338193,33003819,16281176,4583242,4899798,
2,2-2,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,31712245,12282793,11612835,7211109,5023091,
3,2-2,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,78661950,33446729,34267460,30415605,23385278,
4,2-2,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,58354892,25149564,16741322,12823519,12046345,
5,2-2,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,52138434,42454335,4298207,14283240,1582382,
6,2-2,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,69720933,62000682,55097295,44014102,8451403,
7,2-2,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,14316350,10179920,5815608,5765059,2523358,
8,2-2,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,70415537,75200610,13506340,6973374,5637033,
9,2-2,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,61352751,56644822,10264440,1049990,895243,
10,2-2,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,114923266,85220978,7510737,6249330,729758,
11,2-2,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,12926684,-3230830,4143108,4495104,2173469,
12,2-2,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,19201894,2249026,2106977,1786087,2523541,
13,2-2,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,203784999,93543643,28000722,32557038,20565199,
14,2-2,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,34624380,16495969,4583660,3047859,2580715,
15,2-2,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,25664222,17244063,11569328,4831092,3525938,
16,2-2,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,22165564,3174693,3174693,3101464,238895,
17,2-2,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,151672873,127941065,71187851,21368441,24117573,
18,2-2,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,105301913,45253421,6734825,5977904,10785728,
19,2-2,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,21679202,25082268,10389476,5317562,7725676,
20,2-2,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,6262580,4517287,10524653,9829843,11295212,
21,2-2,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,18678132,17979228,16718787,2468783,1588344,
