,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,268717301,305155665,281054407,217304595,192008384,180828965,173771396,59.3
1,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,251396992,433379889,340089740,237255705,224035065,186358314,174430619,43.0
2,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,201664389,318028306,237705546,180743606,174651782,155777274,152995870,49.0
3,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,660960332,856817989,558489827,463009988,461376975,423939278,416803408,49.5
4,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,353866206,545430803,499979667,434318545,322890015,277869308,272526235,50.9
5,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,350521136,580485612,561189145,394619682,230644644,197777108,191070159,34.1
6,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,598423034,634689082,574996324,492792051,474865784,434186712,423676417,68.4
7,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,273436582,335810280,311290440,249700413,131733883,124613323,123174393,37.1
8,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,237428426,338588021,275137111,253991493,224897331,194786972,189206252,57.5
9,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,277066588,262568480,190668431,162997430,154902377,122283216,120204697,46.6
10,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,304766755,512476472,449052183,313538934,225362357,201888575,185913337,39.4
11,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,404548395,300036967,280564880,232747111,172070000,163374325,158400669,54.5
12,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,264258135,346508619,335377793,308379134,274267973,237241545,223801965,68.5
13,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,583913949,680264745,667046778,580580096,507263732,461638538,379290557,67.9
14,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,136672156,160548375,138628858,121423199,114907981,102411497,93921927,63.8
15,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,143855267,178133636,166010550,150317925,146147612,131642529,130400666,73.9
16,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,215724348,300817853,281109497,136435408,133249927,131432532,122466807,43.7
17,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,479629164,890255879,839889306,722602060,538890661,452993208,434300012,50.9
18,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,363592270,425215820,325289462,156572942,148629160,133272350,129948921,31.3
19,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,208324270,248073649,239902383,217387733,204019844,183888449,182246724,74.1
20,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,238362746,282951168,240334630,172101441,165673970,160243670,159525851,56.6
21,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,88882792,184206425,163962041,112459670,111190586,68058827,67173229,36.9
22,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,251747218,339003972,312340073,270402945,234681566,215936105,190085555,63.7
23,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,150581839,210711860,189994915,168959360,158307336,135323906,128465272,64.2
24,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,114724866,143356047,138769498,79477981,65690652,56990954,55928758,39.8
25,465: MUNICIPALIDAD METROPOLITANA DE LIMA,27492732,127540258,108355993,90991666,90991666,56356731,54895268,44.2
