,Nombre,Entidad,PIA,PIM,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
0,Default,440: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,268717301,305155665,285928065,253737079,205185882,189438660,182346907,62.1
1,Default,441: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,251396992,431855891,338245966,259730922,243121988,200871276,188505877,46.5
2,Default,442: GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,201664389,318303845,248417602,201186049,196903005,171836086,162777878,54.0
3,Default,443: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,660960332,870770227,578870028,492182731,490020792,451689789,427792768,51.9
4,Default,444: GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,353866206,545430803,512051791,441376507,337221548,300849882,294872374,55.2
5,Default,445: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,350521136,580398311,564786621,413499215,246738447,214303394,205677020,36.9
6,Default,446: GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,598423034,639890567,593558976,516476882,501893104,463860397,437360363,72.5
7,Default,447: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,273436582,335810280,319266807,258808626,157421668,147048689,145801551,43.8
8,Default,448: GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,237428426,338588021,313072355,265618706,239112163,203919541,202553066,60.2
9,Default,449: GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,277066588,262568480,192050871,164240860,157067523,126036766,125191722,48.0
10,Default,450: GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,304766755,512476472,478527234,331005151,243627288,224612484,205377067,43.8
11,Default,451: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,404548395,300036967,281510594,236357570,178416871,172617904,166792055,57.5
12,Default,452: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,264258135,346796896,329772266,307486811,281150720,250829761,246011401,72.3
13,Default,453: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,583913949,680296687,673027582,594124879,520367953,476586240,409442436,70.1
14,Default,454: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,136672156,160548375,144085799,131429909,125498046,111331950,99188770,69.3
15,Default,455: GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,143855267,178805143,169519645,157034931,154148435,138301923,135594195,77.3
16,Default,456: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,215724348,300817853,280551323,143821408,141096368,137904132,133112612,45.8
17,Default,457: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,479629164,893210084,844581745,728058218,553336439,475817436,455061171,53.3
18,Default,458: GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,363592270,425060820,337660085,178461387,170456150,139427733,137581608,32.8
19,Default,459: GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,208324270,248073649,243362352,222623968,209039634,193532304,186281609,78.0
20,Default,460: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,238362746,282564497,246850975,187206070,184419338,172286551,169758132,61.0
21,Default,461: GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,88882792,184206425,167712511,113506271,112524450,69546902,68370207,37.8
22,Default,462: GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,251747218,339003972,311715844,277484653,241859371,224945641,198088381,66.4
23,Default,463: GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,150581839,210711860,196867248,176600404,167102294,146331174,137819674,69.4
24,Default,464: GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,114724866,143356047,138376168,82020259,69311380,57724806,56656186,40.3
25,Default,465: MUNICIPALIDAD METROPOLITANA DE LIMA,27492732,127540258,110711224,98369739,98269810,63335228,60267743,49.7
